Glottocode,language,back,elevation
quio1240,Quiotepec Chinantec,7,1441
resi1247,Resígaro,3,127
roma1327,Romanian,3,348
roto1249,Rotokas,2,283
ruka1240,Rukai,3,1689
russ1263,Russian,2,185
rutu1240,Rutul,22,1950
saba1265,Sa'ban,3,1002
sali1298,Sáliba,4,119
sand1273,Sandawe,4,1208
sang1328,Sango,6,503
sanm1287,San Mateo del Mar Huave,4,5
sanm1295,San Miguel El Grande Mixtec,4,2279
savo1255,Savosavo,2,365
seda1262,Sedang,9,1287
sele1250,Selepet,4,759
selk1253,Selkup,8,71
sene1264,Seneca,4,427
sgaw1245,S'gaw Karen,4,246
shas1239,Shasta,2,1111
shua1257,Shuar,5,1256
shus1248,Shuswap,16,660
sinh1246,Sinhala,5,51
sion1247,Siona-Tetete,5,236
siri1273,Sirionó,5,182
soma1255,Somali,6,211
soqo1240,Soqotri,5,929
sout2674,South Saami,2,141
sout2949,Southern Kiwai,4,37
sout2982,Southeastern Pomo,6,439
sout2985,Southern Sierra Miwok,3,780
sout2991,South Bolivian Quechua,6,4156
sout2994,Southern Nambikuára,7,687
stan1288,Spanish,3,1202
stan1290,French,8,124
stan1295,German,5,368
suen1241,Suena,3,68
suii1243,Sui,7,276
taca1256,Tacana,2,207
tach1250,Tachelhit,4,904
taga1270,Tagalog,3,93
taha1241,Tahaggart Tamahaq,8,760
talo1250,Tasomi-Tata,4,486
tama1331,Tama (Chad),6,1045
tamn1235,Tamnim Citak,3,19
tamp1252,Tampulma,5,129
taro1263,Tarok,3,210
tedi1235,Tedim Chin,3,1359
tehu1242,Tehuelche,4,299
teke1280,Teke-Kukuya,4,530
telu1262,Telugu,4,440
tera1251,Tera,3,363
tetu1245,Tetum,3,317
thai1261,Thai,4,3
ticu1245,Ticuna,5,150
tiga1245,Tigak,2,44
tigr1270,Tigre,5,2112
timn1235,Timne,5,48
tiru1241,Tiruray,3,435
tiwi1244,Tiwi,3,74
tlin1245,Tlingit,13,656
toar1246,Toaripi,3,7
toho1245,Tohono O'odham,3,640
toll1241,Tol,3,773
tonk1249,Tonkawa,5,86
toro1252,Toro So Dogon,6,279
tosk1239,Northern Tosk Albanian,2,88
toto1305,Totontepec Mixe,3,1423
trum1247,Trumai,3,284
tsou1248,Tsou,2,989
tulu1258,Tulu,5,86
tuni1252,Tunica,4,40
tuuu1240,Tu,4,2746
tuvi1240,Tuvinian,4,613
twee1234,Tweed-Albert,2,51
tzel1254,Tzeltal,3,2091
uppe1439,Upper Chehalis,8,35
usan1239,Usan,4,724
vani1248,Vanimo,6,197
viet1252,Vietnamese,9,8
waim1251,Waima,2,9
waim1255,Waimaha,5,167
wame1240,Wamey,4,79
wang1291,Ngiyambaa,2,153
want1252,Wantoat,2,1967
waor1240,Waorani,3,259
wapi1253,Wapishana,3,130
wapp1239,Wappo,2,59
wara1290,Warray,3,29
wara1303,Warao,4,26
wari1266,Waris,4,640
wayu1243,Wayuu,5,37
west2369,Western Farsi,6,2174
west2397,Western Bru,15,161
west2600,West Makian,2,392
west2632,Western Keres,3,1852
west2644,Western Highland Chatino,5,1344
west2650,Western Cham,4,35
wich1260,Wichita,6,390
wikm1247,Wik-Mungkan,3,32
wint1259,Wintu,6,157
wiyo1248,Wiyot,4,449
wuch1236,Wu Chinese,4,205
yaga1260,Yagaria,3,1810
yagu1244,Yagua,5,97
yaku1245,Sakha,4,875
yana1271,Yana,3,25
yane1238,Yanesha',2,2474
yany1243,Yanyuwa,2,57
yaqu1251,Yaqui,3,788
yare1248,Yareba,3,223
yess1239,Yessan-Mayo,2,21
yidi1250,Yidiñ,2,7
yoru1245,Yoruba,6,105
yuca1254,Yucatec Maya,5,86
yuch1247,Yuchi,5,247
yucu1253,Yucuna,3,164
yuec1235,Yue Chinese,3,-3
yulu1243,Yulu,4,680
zand1248,Zande,7,638
zulu1248,Zulu,3,537
zuni1245,Zuni,3,2210
