Glottocode,language,coronal,elevation
nana1257,Nanai,10,34
nara1262,Nara,8,788
natu1246,Natügu,11,0
nava1243,Navajo,19,2140
naxi1245,Naxi,26,3607
ndut1239,Ndut,12,35
nene1249,Tundra Nenets,14,0
newa1246,Kathmandu Valley Newari,13,288
nezp1238,Nez Perce,10,1041
ngan1291,Nganasan,11,0
ngar1284,Ngarinyin,12,511
ngas1240,Ngas,16,1130
ngiz1242,Ngizim,18,360
niel1243,Niellim,11,358
nina1238,Ninam,7,575
niva1238,Nivaclé,10,209
nobi1240,Nobiin,10,277
noon1243,Noone,9,1277
nort1550,Taos Northern Tiwa,10,2143
nort2641,Northern Kurdish,14,697
nort2690,Northern Uzbek,10,52
nort2697,North Azerbaijani,13,276
nort2735,Northern Dong,8,512
nort2745,Northern Yukaghir,10,0
nort2815,Northeastern Dinka,11,401
nort2819,Northern Bobo Madaré,8,467
nort2938,Northern Haida,18,80
nort2952,Northeast Maidu,8,1271
nort2957,Northern Puebla Nahuatl,8,1496
norw1259,Norwegian Bokmål,12,20
nucl1235,Eastern Armenian,17,1912
nucl1240,Mumuye,9,543
nucl1301,Turkish,14,1138
nucl1302,Georgian,16,1338
nucl1310,Burmese,18,711
nucl1339,Temein,10,842
nucl1347,Wolof,12,53
nucl1417,Igbo,15,8
nucl1454,Yawa,8,852
nucl1620,Wahgi,8,2160
nucl1632,Sentani,3,74
nucl1633,Nimboran,5,61
nucl1643,Japanese,6,127
nucl1649,Southern-Coastal Tsimshian,12,278
nung1283,Nung (Viet Nam),9,703
nung1290,Wubuy,13,6
nuuc1236,Nuu-chah-nulth,13,614
nyah1250,Nyahkur,13,556
nyan1313,Nyang'i,10,1369
nyis1236,Nyishi-Hill Miri,6,996
ocai1244,Ocaina,14,114
ogbi1239,Ogbia,10,21
ormu1247,Ormuri,13,2281
paco1243,Pacoh,9,757
paez1247,Páez,17,3472
paiw1248,Paiwan,12,608
papa1238,Papantla Totonac,8,89
para1301,South Wa,19,1866
para1311,Paraguayan Guaraní,11,184
pech1241,Pech,8,411
peve1243,Peve,14,328
pira1253,Pirahã,2,75
plat1254,Plateau Malagasy,11,1653
pohn1238,Pohnpeian,6,537
popt1235,Popti',14,2060
pure1242,Purepecha,17,2340
pwon1235,Pwo Northern Karen,12,1113
qaqe1238,Qaqet,6,941
qaua1234,Central Gelao-Qau,17,1275
qawa1238,Qawasqar,8,80
quil1240,Quileute,13,16
quio1240,Quiotepec Chinantec,14,1441
resi1247,Resígaro,17,127
roma1327,Romanian,12,348
roto1249,Rotokas,2,283
ruka1240,Rukai,12,1689
russ1263,Russian,18,185
rutu1240,Rutul,20,1950
saba1265,Sa'ban,9,1002
sali1298,Sáliba,10,119
sand1273,Sandawe,16,1208
sang1328,Sango,9,503
sanm1287,San Mateo del Mar Huave,10,5
sanm1295,San Miguel El Grande Mixtec,8,2279
savo1255,Savosavo,9,365
seda1262,Sedang,20,1287
sele1250,Selepet,6,759
selk1253,Selkup,10,71
sene1264,Seneca,4,427
sgaw1245,S'gaw Karen,14,246
shas1239,Shasta,7,1111
shua1257,Shuar,8,1256
shus1248,Shuswap,10,660
sinh1246,Sinhala,12,51
sion1247,Siona-Tetete,6,236
siri1273,Sirionó,7,182
soma1255,Somali,9,211
soqo1240,Soqotri,16,929
sout2674,South Saami,20,141
sout2949,Southern Kiwai,5,37
sout2982,Southeastern Pomo,12,439
sout2985,Southern Sierra Miwok,7,780
sout2991,South Bolivian Quechua,15,4156
sout2994,Southern Nambikuára,10,687
stan1288,Spanish,11,1202
stan1290,French,9,124
stan1295,German,9,368
suen1241,Suena,6,68
suii1243,Sui,18,276
taca1256,Tacana,10,207
tach1250,Tachelhit,15,904
taga1270,Tagalog,7,93
taha1241,Tahaggart Tamahaq,14,760
talo1250,Tasomi-Tata,8,486
tama1331,Tama (Chad),10,1045
tamn1235,Tamnim Citak,6,19
tamp1252,Tampulma,10,129
taro1263,Tarok,12,210
tedi1235,Tedim Chin,9,1359
tehu1242,Tehuelche,16,299
teke1280,Teke-Kukuya,8,530
telu1262,Telugu,18,440
tera1251,Tera,18,363
tetu1245,Tetum,6,317
thai1261,Thai,9,3
ticu1245,Ticuna,8,150
tiga1245,Tigak,5,44
tigr1270,Tigre,14,2112
timn1235,Timne,7,48
tiru1241,Tiruray,6,435
tiwi1244,Tiwi,13,74
tlin1245,Tlingit,17,656
toar1246,Toaripi,3,7
toho1245,Tohono O'odham,10,640
toll1241,Tol,9,773
tonk1249,Tonkawa,5,86
toro1252,Toro So Dogon,8,279
tosk1239,Northern Tosk Albanian,19,88
toto1305,Totontepec Mixe,7,1423
trum1247,Trumai,9,284
tsou1248,Tsou,6,989
tulu1258,Tulu,15,86
tuni1252,Tunica,8,40
tuuu1240,Tu,12,2746
tuvi1240,Tuvinian,11,613
twee1234,Tweed-Albert,6,51
tzel1254,Tzeltal,12,2091
uppe1439,Upper Chehalis,12,35
usan1239,Usan,5,724
vani1248,Vanimo,7,197
viet1252,Vietnamese,9,8
waim1251,Waima,3,9
waim1255,Waimaha,4,167
wame1240,Wamey,17,79
wang1291,Ngiyambaa,9,153
want1252,Wantoat,5,1967
waor1240,Waorani,4,259
wapi1253,Wapishana,9,130
wapp1239,Wappo,17,59
wara1290,Warray,8,29
wara1303,Warao,4,26
wari1266,Waris,5,640
wayu1243,Wayuu,7,37
west2369,Western Farsi,11,2174
west2397,Western Bru,9,161
west2600,West Makian,9,392
west2632,Western Keres,25,1852
west2644,Western Highland Chatino,7,1344
west2650,Western Cham,10,35
wich1260,Wichita,12,390
wikm1247,Wik-Mungkan,6,32
wint1259,Wintu,14,157
wiyo1248,Wiyot,13,449
wuch1236,Wu Chinese,8,205
yaga1260,Yagaria,4,1810
yagu1244,Yagua,5,97
yaku1245,Sakha,12,875
yana1271,Yana,10,25
yane1238,Yanesha',12,2474
yany1243,Yanyuwa,18,57
yaqu1251,Yaqui,7,788
yare1248,Yareba,6,223
yess1239,Yessan-Mayo,6,21
yidi1250,Yidiñ,7,7
yoru1245,Yoruba,8,105
yuca1254,Yucatec Maya,10,86
yuch1247,Yuchi,22,247
yucu1253,Yucuna,8,164
yuec1235,Yue Chinese,8,-3
yulu1243,Yulu,16,680
zand1248,Zande,7,638
zulu1248,Zulu,14,537
zuni1245,Zuni,10,2210
