,language,front,elevation
norw1259,Norwegian Bokmål,14,20.0
nucl1235,Eastern Armenian,4,1912.0
nucl1240,Mumuye,5,543.0
nucl1301,Turkish,8,1138.0
nucl1302,Georgian,2,1338.0
nucl1310,Burmese,9,711.0
nucl1339,Temein,6,842.0
nucl1347,Wolof,12,53.0
nucl1417,Igbo,13,8.0
nucl1454,Yawa,5,852.0
nucl1620,Wahgi,4,2160.0
nucl1632,Sentani,4,74.0
nucl1633,Nimboran,2,61.0
nucl1643,Japanese,3,127.0
nucl1649,Southern-Coastal Tsimshian,6,278.0
nung1283,Nung (Viet Nam),4,703.0
nung1290,Wubuy,2,6.0
nuuc1236,Nuu-chah-nulth,4,614.0
nyah1250,Nyahkur,11,556.0
nyan1313,Nyang'i,7,1369.0
nyis1236,Nyishi-Hill Miri,4,996.0
ocai1244,Ocaina,7,114.0
ogbi1239,Ogbia,6,21.0
ormu1247,Ormuri,3,2281.0
paco1243,Pacoh,5,757.0
paez1247,Páez,12,3472.0
paiw1248,Paiwan,5,608.0
papa1238,Papantla Totonac,4,89.0
para1301,South Wa,8,1866.0
para1311,Paraguayan Guaraní,6,184.0
pech1241,Pech,6,411.0
peve1243,Peve,3,328.0
pira1253,Pirahã,1,75.0
plat1254,Plateau Malagasy,3,1653.0
pohn1238,Pohnpeian,3,537.0
popt1235,Popti',3,2060.0
pure1242,Purepecha,4,2340.0
pwon1235,Pwo Northern Karen,4,1113.0
qaqe1238,Qaqet,3,941.0
qaua1234,Central Gelao-Qau,9,1275.0
qawa1238,Qawasqar,1,80.0
quil1240,Quileute,3,16.0
quio1240,Quiotepec Chinantec,9,1441.0
resi1247,Resígaro,7,127.0
roma1327,Romanian,3,348.0
roto1249,Rotokas,2,283.0
ruka1240,Rukai,2,1689.0
russ1263,Russian,16,185.0
rutu1240,Rutul,3,1950.0
saba1265,Sa'ban,4,1002.0
sali1298,Sáliba,4,119.0
sand1273,Sandawe,4,1208.0
sang1328,Sango,5,503.0
sanm1287,San Mateo del Mar Huave,3,5.0
sanm1295,San Miguel El Grande Mixtec,4,2279.0
savo1255,Savosavo,4,365.0
seda1262,Sedang,12,1287.0
sele1250,Selepet,3,759.0
selk1253,Selkup,10,71.0
sene1264,Seneca,5,427.0
sgaw1245,S'gaw Karen,8,246.0
shas1239,Shasta,3,1111.0
shua1257,Shuar,3,1256.0
shus1248,Shuswap,4,660.0
sinh1246,Sinhala,9,51.0
sion1247,Siona-Tetete,5,236.0
siri1273,Sirionó,6,182.0
soma1255,Somali,6,211.0
soqo1240,Soqotri,3,929.0
sout2674,South Saami,21,141.0
sout2949,Southern Kiwai,2,37.0
sout2982,Southeastern Pomo,3,439.0
sout2985,Southern Sierra Miwok,3,780.0
sout2991,South Bolivian Quechua,5,4156.0
sout2994,Southern Nambikuára,9,687.0
stan1288,Spanish,5,1202.0
stan1290,French,12,124.0
stan1295,German,10,368.0
suen1241,Suena,3,68.0
suii1243,Sui,7,276.0
taca1256,Tacana,3,207.0
tach1250,Tachelhit,3,904.0
taga1270,Tagalog,3,93.0
taha1241,Tahaggart Tamahaq,9,760.0
talo1250,Tasomi-Tata,6,486.0
tama1331,Tama (Chad),7,1045.0
tamn1235,Tamnim Citak,3,19.0
tamp1252,Tampulma,8,129.0
taro1263,Tarok,3,210.0
tedi1235,Tedim Chin,2,1359.0
tehu1242,Tehuelche,6,299.0
teke1280,Teke-Kukuya,5,530.0
telu1262,Telugu,8,440.0
tera1251,Tera,13,363.0
tetu1245,Tetum,2,317.0
thai1261,Thai,4,3.0
ticu1245,Ticuna,4,150.0
tiga1245,Tigak,2,44.0
tigr1270,Tigre,3,2112.0
timn1235,Timne,4,48.0
tiru1241,Tiruray,3,435.0
tiwi1244,Tiwi,2,74.0
tlin1245,Tlingit,3,656.0
toar1246,Toaripi,2,7.0
toho1245,Tohono O'odham,2,640.0
toll1241,Tol,3,773.0
tonk1249,Tonkawa,5,86.0
toro1252,Toro So Dogon,7,279.0
tosk1239,Northern Tosk Albanian,6,88.0
toto1305,Totontepec Mixe,4,1423.0
trum1247,Trumai,3,284.0
tsou1248,Tsou,2,989.0
tulu1258,Tulu,8,86.0
tuni1252,Tunica,4,40.0
tuuu1240,Tu,3,2746.0
tuvi1240,Tuvinian,6,613.0
twee1234,Tweed-Albert,3,51.0
tzel1254,Tzeltal,3,2091.0
uppe1439,Upper Chehalis,2,35.0
usan1239,Usan,3,724.0
vani1248,Vanimo,6,197.0
viet1252,Vietnamese,6,8.0
waim1251,Waima,2,9.0
waim1255,Waimaha,5,167.0
wame1240,Wamey,11,79.0
wang1291,Ngiyambaa,2,153.0
want1252,Wantoat,3,1967.0
waor1240,Waorani,7,259.0
wapi1253,Wapishana,2,130.0
wapp1239,Wappo,4,59.0
wara1290,Warray,6,29.0
wara1303,Warao,5,26.0
wari1266,Waris,5,640.0
wayu1243,Wayuu,7,37.0
west2369,Western Farsi,3,2174.0
west2397,Western Bru,9,161.0
west2600,West Makian,2,392.0
west2632,Western Keres,9,1852.0
west2644,Western Highland Chatino,5,1344.0
west2650,Western Cham,7,35.0
wich1260,Wichita,4,390.0
wikm1247,Wik-Mungkan,3,32.0
wint1259,Wintu,3,157.0
wiyo1248,Wiyot,3,449.0
wuch1236,Wu Chinese,5,205.0
yaga1260,Yagaria,4,1810.0
yagu1244,Yagua,5,97.0
yaku1245,Sakha,9,875.0
yana1271,Yana,3,25.0
yane1238,Yanesha',7,2474.0
yany1243,Yanyuwa,4,57.0
yaqu1251,Yaqui,3,788.0
yare1248,Yareba,3,223.0
yess1239,Yessan-Mayo,1,21.0
yidi1250,Yidiñ,4,7.0
yoru1245,Yoruba,6,105.0
yuca1254,Yucatec Maya,5,86.0
yuch1247,Yuchi,6,247.0
yucu1253,Yucuna,3,164.0
yuec1235,Yue Chinese,3,-3.0
yulu1243,Yulu,9,680.0
zand1248,Zande,8,638.0
zulu1248,Zulu,3,537.0
zuni1245,Zuni,3,2210.0
