,language,continuant,elevation
para1311,Paraguayan Guaraní,25,184.0
pech1241,Pech,19,411.0
peve1243,Peve,20,328.0
pira1253,Pirahã,5,75.0
plat1254,Plateau Malagasy,13,1653.0
pohn1238,Pohnpeian,11,537.0
popt1235,Popti',15,2060.0
pure1242,Purepecha,19,2340.0
pwon1235,Pwo Northern Karen,22,1113.0
qaqe1238,Qaqet,13,941.0
qaua1234,Central Gelao-Qau,22,1275.0
qawa1238,Qawasqar,10,80.0
quil1240,Quileute,15,16.0
quio1240,Quiotepec Chinantec,25,1441.0
resi1247,Resígaro,11,127.0
roma1327,Romanian,21,348.0
roto1249,Rotokas,7,283.0
ruka1240,Rukai,14,1689.0
russ1263,Russian,21,185.0
rutu1240,Rutul,26,1950.0
saba1265,Sa'ban,13,1002.0
sali1298,Sáliba,18,119.0
sand1273,Sandawe,16,1208.0
sang1328,Sango,20,503.0
sanm1287,San Mateo del Mar Huave,16,5.0
sanm1295,San Miguel El Grande Mixtec,18,2279.0
savo1255,Savosavo,11,365.0
seda1262,Sedang,29,1287.0
sele1250,Selepet,12,759.0
selk1253,Selkup,24,71.0
sene1264,Seneca,12,427.0
sgaw1245,S'gaw Karen,21,246.0
shas1239,Shasta,10,1111.0
shua1257,Shuar,14,1256.0
shus1248,Shuswap,25,660.0
sinh1246,Sinhala,22,51.0
sion1247,Siona-Tetete,18,236.0
siri1273,Sirionó,18,182.0
soma1255,Somali,21,211.0
soqo1240,Soqotri,24,929.0
sout2674,South Saami,20,141.0
sout2949,Southern Kiwai,10,37.0
sout2982,Southeastern Pomo,15,439.0
sout2985,Southern Sierra Miwok,12,780.0
sout2991,South Bolivian Quechua,18,4156.0
sout2994,Southern Nambikuára,26,687.0
stan1288,Spanish,18,1202.0
stan1290,French,27,124.0
stan1295,German,30,368.0
suen1241,Suena,9,68.0
suii1243,Sui,21,276.0
taca1256,Tacana,12,207.0
tach1250,Tachelhit,21,904.0
taga1270,Tagalog,12,93.0
taha1241,Tahaggart Tamahaq,25,760.0
talo1250,Tasomi-Tata,12,486.0
tama1331,Tama (Chad),18,1045.0
tamn1235,Tamnim Citak,11,19.0
tamp1252,Tampulma,18,129.0
taro1263,Tarok,17,210.0
tedi1235,Tedim Chin,13,1359.0
tehu1242,Tehuelche,17,299.0
teke1280,Teke-Kukuya,13,530.0
telu1262,Telugu,22,440.0
tera1251,Tera,23,363.0
tetu1245,Tetum,11,317.0
thai1261,Thai,16,3.0
ticu1245,Ticuna,15,150.0
tiga1245,Tigak,9,44.0
tigr1270,Tigre,19,2112.0
timn1235,Timne,15,48.0
tiru1241,Tiruray,13,435.0
tiwi1244,Tiwi,11,74.0
tlin1245,Tlingit,19,656.0
toar1246,Toaripi,10,7.0
toho1245,Tohono O'odham,11,640.0
toll1241,Tol,12,773.0
tonk1249,Tonkawa,17,86.0
toro1252,Toro So Dogon,18,279.0
tosk1239,Northern Tosk Albanian,20,88.0
toto1305,Totontepec Mixe,14,1423.0
trum1247,Trumai,15,284.0
tsou1248,Tsou,12,989.0
tulu1258,Tulu,22,86.0
tuni1252,Tunica,14,40.0
tuuu1240,Tu,14,2746.0
tuvi1240,Tuvinian,16,613.0
twee1234,Tweed-Albert,8,51.0
tzel1254,Tzeltal,12,2091.0
uppe1439,Upper Chehalis,14,35.0
usan1239,Usan,9,724.0
vani1248,Vanimo,20,197.0
viet1252,Vietnamese,24,8.0
waim1251,Waima,7,9.0
waim1255,Waimaha,17,167.0
wame1240,Wamey,20,79.0
wang1291,Ngiyambaa,8,153.0
want1252,Wantoat,8,1967.0
waor1240,Waorani,11,259.0
wapi1253,Wapishana,14,130.0
wapp1239,Wappo,15,59.0
wara1290,Warray,9,29.0
wara1303,Warao,15,26.0
wari1266,Waris,16,640.0
wayu1243,Wayuu,19,37.0
west2369,Western Farsi,18,2174.0
west2397,Western Bru,28,161.0
west2600,West Makian,11,392.0
west2632,Western Keres,25,1852.0
west2644,Western Highland Chatino,16,1344.0
west2650,Western Cham,17,35.0
wich1260,Wichita,15,390.0
wikm1247,Wik-Mungkan,9,32.0
wint1259,Wintu,14,157.0
wiyo1248,Wiyot,14,449.0
wuch1236,Wu Chinese,18,205.0
yaga1260,Yagaria,14,1810.0
yagu1244,Yagua,16,97.0
yaku1245,Sakha,22,875.0
yana1271,Yana,15,25.0
yane1238,Yanesha',13,2474.0
yany1243,Yanyuwa,11,57.0
yaqu1251,Yaqui,12,788.0
yare1248,Yareba,10,223.0
yess1239,Yessan-Mayo,11,21.0
yidi1250,Yidiñ,8,7.0
yoru1245,Yoruba,19,105.0
yuca1254,Yucatec Maya,16,86.0
yuch1247,Yuchi,23,247.0
yucu1253,Yucuna,11,164.0
yuec1235,Yue Chinese,12,-3.0
yulu1243,Yulu,16,680.0
zand1248,Zande,24,638.0
zulu1248,Zulu,18,537.0
zuni1245,Zuni,12,2210.0
