,language,lateral,elevation
wang1291,Ngiyambaa,1,153
wapp1239,Wappo,2,59
wara1290,Warray,1,29
wara1303,Warao,1,26
wari1266,Waris,1,640
wayu1243,Wayuu,1,37
west2369,Western Farsi,1,2174
west2397,Western Bru,1,161
west2600,West Makian,1,392
west2644,Western Highland Chatino,1,1344
west2650,Western Cham,1,35
wikm1247,Wik-Mungkan,1,32
wiyo1248,Wiyot,2,449
wuch1236,Wu Chinese,1,205
yaga1260,Yagaria,1,1810
yaku1245,Sakha,1,875
yana1271,Yana,1,25
yane1238,Yanesha',1,2474
yany1243,Yanyuwa,4,57
yaqu1251,Yaqui,1,788
yess1239,Yessan-Mayo,1,21
yidi1250,Yidiñ,1,7
yoru1245,Yoruba,1,105
yuca1254,Yucatec Maya,1,86
yuch1247,Yuchi,4,247
yucu1253,Yucuna,1,164
yuec1235,Yue Chinese,2,-3
yulu1243,Yulu,1,680
zand1248,Zande,1,638
zulu1248,Zulu,3,537
zuni1245,Zuni,2,2210
0,Adzera,0,207
1,Hokkaido Ainu,0,216
2,Akan,0,166
3,Akawaio,0,970
4,Amahuaca,0,429
5,Alamblak,0,77
6,Andoque,0,181
7,Apinayé,0,229
8,Arabela,0,182
9,Waorani,0,259
10,Waimaha,0,167
11,Kohumono,0,23
12,Muinane,0,177
13,Bororo,0,180
14,Bribri,0,706
15,Caddo,0,377
16,Galibi Carib,0,6
17,Chuave,0,2050
18,Asháninka,0,497
19,Cofán,0,342
20,Cayubaba,0,141
21,Efik,0,25
22,Ejagham,0,220
23,Fasu,0,217
24,Fe'fe',0,1444
25,Gadsup,0,1311
26,Hopi,0,1713
27,Irarutu,0,65
28,Iwam,0,26
29,Shuar,0,1256
30,Japanese,0,127
31,Grass Koiari,0,767
32,Dera (Indonesia),0,332
33,Kaingang,0,662
34,Kiowa,0,450
35,Southern Kiwai,0,37
36,Western Keres,0,1852
37,Klao,0,66
38,Kwoma,0,31
39,Kpan,0,139
40,South-Eastern Ju,0,1161
41,Karok,0,676
42,Maxakalí,0,294
43,Mor (Bomberai Peninsula),0,27
44,Dadibi,0,1267
45,Totontepec Mixe,0,1423
