Glottocode,language,round,elevation
sand1273,Sandawe,4,1208
sang1328,Sango,6,503
sanm1287,San Mateo del Mar Huave,5,5
sanm1295,San Miguel El Grande Mixtec,5,2279
savo1255,Savosavo,2,365
seda1262,Sedang,9,1287
sele1250,Selepet,3,759
selk1253,Selkup,8,71
sene1264,Seneca,4,427
sgaw1245,S'gaw Karen,4,246
shas1239,Shasta,2,1111
shua1257,Shuar,3,1256
shus1248,Shuswap,12,660
sinh1246,Sinhala,4,51
sion1247,Siona-Tetete,8,236
siri1273,Sirionó,5,182
soma1255,Somali,5,211
soqo1240,Soqotri,3,929
sout2674,South Saami,2,141
sout2949,Southern Kiwai,5,37
sout2982,Southeastern Pomo,3,439
sout2985,Southern Sierra Miwok,3,780
sout2991,South Bolivian Quechua,3,4156
sout2994,Southern Nambikuára,10,687
stan1288,Spanish,3,1202
stan1290,French,12,124
stan1295,German,11,368
suen1241,Suena,3,68
suii1243,Sui,8,276
taca1256,Tacana,2,207
tach1250,Tachelhit,2,904
taga1270,Tagalog,3,93
taha1241,Tahaggart Tamahaq,6,760
talo1250,Tasomi-Tata,4,486
tama1331,Tama (Chad),5,1045
tamn1235,Tamnim Citak,3,19
tamp1252,Tampulma,5,129
taro1263,Tarok,3,210
tedi1235,Tedim Chin,3,1359
tehu1242,Tehuelche,3,299
teke1280,Teke-Kukuya,4,530
telu1262,Telugu,4,440
tera1251,Tera,8,363
tetu1245,Tetum,3,317
thai1261,Thai,4,3
ticu1245,Ticuna,6,150
tiga1245,Tigak,3,44
tigr1270,Tigre,3,2112
timn1235,Timne,4,48
tiru1241,Tiruray,3,435
tiwi1244,Tiwi,3,74
tlin1245,Tlingit,13,656
toar1246,Toaripi,3,7
toho1245,Tohono O'odham,3,640
toll1241,Tol,3,773
tonk1249,Tonkawa,7,86
toro1252,Toro So Dogon,6,279
tosk1239,Northern Tosk Albanian,3,88
toto1305,Totontepec Mixe,3,1423
trum1247,Trumai,3,284
tsou1248,Tsou,3,989
tulu1258,Tulu,5,86
tuni1252,Tunica,4,40
tuuu1240,Tu,2,2746
tuvi1240,Tuvinian,4,613
twee1234,Tweed-Albert,2,51
tzel1254,Tzeltal,4,2091
uppe1439,Upper Chehalis,8,35
usan1239,Usan,3,724
vani1248,Vanimo,8,197
viet1252,Vietnamese,6,8
waim1251,Waima,2,9
waim1255,Waimaha,5,167
wame1240,Wamey,9,79
wang1291,Ngiyambaa,2,153
want1252,Wantoat,5,1967
waor1240,Waorani,3,259
wapi1253,Wapishana,3,130
wapp1239,Wappo,2,59
wara1290,Warray,3,29
wara1303,Warao,5,26
wari1266,Waris,4,640
wayu1243,Wayuu,5,37
