Glottocode,language,dorsal,elevation
nucl1649,Southern-Coastal Tsimshian,22,278
nung1283,Nung (Viet Nam),16,703
nung1290,Wubuy,8,6
nuuc1236,Nuu-chah-nulth,22,614
nyah1250,Nyahkur,34,556
nyan1313,Nyang'i,15,1369
nyis1236,Nyishi-Hill Miri,14,996
ocai1244,Ocaina,16,114
ogbi1239,Ogbia,18,21
ormu1247,Ormuri,12,2281
paco1243,Pacoh,18,757
paez1247,Páez,19,3472
paiw1248,Paiwan,12,608
papa1238,Papantla Totonac,10,89
para1301,South Wa,49,1866
para1311,Paraguayan Guaraní,22,184
pech1241,Pech,16,411
peve1243,Peve,14,328
pira1253,Pirahã,5,75
plat1254,Plateau Malagasy,8,1653
pohn1238,Pohnpeian,10,537
popt1235,Popti',12,2060
pure1242,Purepecha,16,2340
pwon1235,Pwo Northern Karen,19,1113
qaqe1238,Qaqet,13,941
qaua1234,Central Gelao-Qau,23,1275
qawa1238,Qawasqar,8,80
quil1240,Quileute,19,16
quio1240,Quiotepec Chinantec,23,1441
resi1247,Resígaro,14,127
roma1327,Romanian,14,348
roto1249,Rotokas,7,283
ruka1240,Rukai,9,1689
russ1263,Russian,25,185
rutu1240,Rutul,36,1950
saba1265,Sa'ban,13,1002
sali1298,Sáliba,15,119
sand1273,Sandawe,15,1208
sang1328,Sango,19,503
sanm1287,San Mateo del Mar Huave,13,5
sanm1295,San Miguel El Grande Mixtec,13,2279
savo1255,Savosavo,11,365
seda1262,Sedang,29,1287
sele1250,Selepet,11,759
selk1253,Selkup,25,71
sene1264,Seneca,11,427
sgaw1245,S'gaw Karen,19,246
shas1239,Shasta,9,1111
shua1257,Shuar,12,1256
shus1248,Shuswap,28,660
sinh1246,Sinhala,21,51
sion1247,Siona-Tetete,18,236
siri1273,Sirionó,17,182
soma1255,Somali,18,211
soqo1240,Soqotri,13,929
sout2674,South Saami,28,141
sout2949,Southern Kiwai,10,37
sout2982,Southeastern Pomo,13,439
sout2985,Southern Sierra Miwok,10,780
sout2991,South Bolivian Quechua,16,4156
sout2994,Southern Nambikuára,26,687
stan1288,Spanish,12,1202
stan1290,French,24,124
stan1295,German,25,368
suen1241,Suena,9,68
suii1243,Sui,29,276
taca1256,Tacana,7,207
tach1250,Tachelhit,12,904
taga1270,Tagalog,10,93
taha1241,Tahaggart Tamahaq,21,760
talo1250,Tasomi-Tata,13,486
tama1331,Tama (Chad),17,1045
tamn1235,Tamnim Citak,9,19
tamp1252,Tampulma,19,129
taro1263,Tarok,13,210
tedi1235,Tedim Chin,10,1359
tehu1242,Tehuelche,14,299
teke1280,Teke-Kukuya,13,530
telu1262,Telugu,17,440
tera1251,Tera,30,363
tetu1245,Tetum,7,317
thai1261,Thai,14,3
ticu1245,Ticuna,17,150
tiga1245,Tigak,8,44
tigr1270,Tigre,14,2112
timn1235,Timne,12,48
tiru1241,Tiruray,11,435
tiwi1244,Tiwi,10,74
tlin1245,Tlingit,27,656
toar1246,Toaripi,7,7
toho1245,Tohono O'odham,9,640
toll1241,Tol,12,773
tonk1249,Tonkawa,16,86
toro1252,Toro So Dogon,17,279
tosk1239,Northern Tosk Albanian,13,88
toto1305,Totontepec Mixe,12,1423
trum1247,Trumai,10,284
tsou1248,Tsou,8,989
tulu1258,Tulu,19,86
tuni1252,Tunica,11,40
tuuu1240,Tu,12,2746
tuvi1240,Tuvinian,13,613
twee1234,Tweed-Albert,8,51
tzel1254,Tzeltal,10,2091
uppe1439,Upper Chehalis,17,35
usan1239,Usan,10,724
vani1248,Vanimo,16,197
viet1252,Vietnamese,22,8
waim1251,Waima,6,9
waim1255,Waimaha,16,167
wame1240,Wamey,27,79
