Glottocode,language,tense,elevation
tach1250,Tachelhit,4,904
taga1270,Tagalog,2,93
taha1241,Tahaggart Tamahaq,6,760
talo1250,Tasomi-Tata,4,486
tama1331,Tama (Chad),6,1045
tamn1235,Tamnim Citak,4,19
tamp1252,Tampulma,6,129
taro1263,Tarok,4,210
tedi1235,Tedim Chin,3,1359
tehu1242,Tehuelche,5,299
teke1280,Teke-Kukuya,4,530
telu1262,Telugu,9,440
tera1251,Tera,5,363
tetu1245,Tetum,3,317
thai1261,Thai,8,3
ticu1245,Ticuna,7,150
tiga1245,Tigak,2,44
tigr1270,Tigre,4,2112
timn1235,Timne,6,48
tiru1241,Tiruray,5,435
tiwi1244,Tiwi,4,74
tlin1245,Tlingit,4,656
toar1246,Toaripi,2,7
toho1245,Tohono O'odham,5,640
toll1241,Tol,5,773
tonk1249,Tonkawa,8,86
toro1252,Toro So Dogon,10,279
tosk1239,Northern Tosk Albanian,4,88
toto1305,Totontepec Mixe,5,1423
trum1247,Trumai,6,284
tsou1248,Tsou,3,989
tulu1258,Tulu,10,86
tuni1252,Tunica,6,40
tuuu1240,Tu,2,2746
tuvi1240,Tuvinian,8,613
twee1234,Tweed-Albert,4,51
tzel1254,Tzeltal,2,2091
uppe1439,Upper Chehalis,2,35
usan1239,Usan,4,724
vani1248,Vanimo,10,197
viet1252,Vietnamese,5,8
waim1251,Waima,2,9
waim1255,Waimaha,10,167
wame1240,Wamey,6,79
wang1291,Ngiyambaa,4,153
want1252,Wantoat,2,1967
waor1240,Waorani,3,259
wapi1253,Wapishana,7,130
wapp1239,Wappo,4,59
wara1290,Warray,4,29
wara1303,Warao,7,26
wari1266,Waris,5,640
wayu1243,Wayuu,8,37
west2369,Western Farsi,6,2174
west2397,Western Bru,14,161
west2600,West Makian,2,392
west2632,Western Keres,13,1852
west2644,Western Highland Chatino,6,1344
west2650,Western Cham,7,35
wich1260,Wichita,6,390
wikm1247,Wik-Mungkan,3,32
wint1259,Wintu,4,157
wiyo1248,Wiyot,5,449
wuch1236,Wu Chinese,6,205
yaga1260,Yagaria,4,1810
yagu1244,Yagua,8,97
yaku1245,Sakha,10,875
yana1271,Yana,7,25
yane1238,Yanesha',4,2474
yany1243,Yanyuwa,2,57
yaqu1251,Yaqui,4,788
yare1248,Yareba,4,223
yess1239,Yessan-Mayo,3,21
yidi1250,Yidiñ,4,7
yoru1245,Yoruba,8,105
yuca1254,Yucatec Maya,6,86
yuch1247,Yuchi,8,247
yucu1253,Yucuna,4,164
yuec1235,Yue Chinese,4,-3
yulu1243,Yulu,6,680
zand1248,Zande,6,638
zulu1248,Zulu,4,537
zuni1245,Zuni,4,2210
