,language,spreadGlottis,elevation
yaga1260,Yagaria,1,1810
yagu1244,Yagua,1,97
yana1271,Yana,5,25
yane1238,Yanesha',4,2474
yaqu1251,Yaqui,1,788
yess1239,Yessan-Mayo,3,21
yoru1245,Yoruba,1,105
yuca1254,Yucatec Maya,1,86
yuch1247,Yuchi,6,247
yucu1253,Yucuna,3,164
yuec1235,Yue Chinese,6,-3
yulu1243,Yulu,1,680
zand1248,Zande,1,638
zulu1248,Zulu,5,537
zuni1245,Zuni,5,2210
0,Eastern Arrernte,0,720
1,Angaataha,0,1709
2,Aghem,0,1047
3,Aproumu Aizi,0,24
4,Akawaio,0,970
5,Qawasqar,0,80
6,Alawa,0,147
7,Antakarinya,0,178
8,Apinayé,0,229
9,Apucikwar,0,58
10,Mapudungun,0,1538
11,Waorani,0,259
12,Awngi,0,2024
13,Bardi,0,46
14,Tweed-Albert,0,51
15,Daloa Bété,0,234
16,Bissa,0,263
17,Muinane,0,177
18,Bororo,0,180
19,Bulgarian,0,98
20,Burarra,0,36
21,Qaqet,0,941
22,Bribri,0,706
23,Nivaclé,0,209
24,Quiotepec Chinantec,0,1441
25,Chuvash,0,95
26,Chuave,0,2050
27,Chukchi,0,0
28,Wamey,0,79
29,Cubeo,0,192
30,Dangaleat,0,459
31,Dan,0,324
32,Dagbani,0,181
33,Dyirbal,0,858
34,Dieri,0,19
35,Tipai,0,297
36,Northern Dong,0,512
37,Dagur,0,167
38,Dhuwal,0,99
39,Efik,0,25
40,Ekari,0,1658
41,Modern Greek,0,190
42,Ejagham,0,220
43,Basque,0,362
44,Even,0,0
45,Ewondo,0,593
46,Fijian,0,151
47,French,0,124
48,Gadsup,0,1311
49,Garrwa,0,205
50,Nanai,0,34
51,Paraguayan Guaraní,0,184
52,Guambiano,0,1725
53,Aché,0,158
54,Kuku-Yalanji,0,236
55,Izon,0,5
56,Irarutu,0,65
57,West Itelmen,0,124
58,Yanyuwa,0,57
59,Jebero,0,242
60,Shuar,0,1256
61,Kalaallisut,0,0
62,Camsá,0,2387
63,Dera (Indonesia),0,332
64,Kazym-Berezover-Suryskarer Khanty,0,54
65,Kekchí,0,28
66,Kirghiz,0,3699
67,Southern Kiwai,0,37
68,East Kewa,0,1942
69,Klao,0,66
70,Northern Kurdish,0,697
71,Dera (Nigeria),0,195
72,Kpan,0,139
73,Komi-Zyrian,0,125
74,Koryak,0,0
75,Kupsabiny,0,2719
76,Kalkutung,0,435
77,Kunimaipa,0,1857
78,Border Kuna,0,460
79,Kwaio,0,564
80,Lithuanian,0,54
81,Masai,0,1187
82,Maba (Chad),0,509
83,Mba,0,456
84,Eastern Mari,0,45
85,Manchu,0,187
86,Moro,0,745
87,Mullukmulluk,0,40
88,Mawng,0,28
89,Marghi Central,0,426
90,Totontepec Mixe,0,1423
91,Murriny Patha,0,0
92,Kala Lagaw Ya,0,137
93,Naasioi,0,1855
94,Northern Puebla Nahuatl,0,1496
95,Noone,0,1277
96,Nganasan,0,0
97,Ao Naga,0,605
98,Wubuy,0,6
99,Ama (Sudan),0,697
100,Nyang'i,0,1369
101,Ogbia,0,21
102,Eastern Ojibwa,0,213
103,Panare,0,52
104,Pohnpeian,0,537
105,Paiwan,0,608
106,Rotokas,0,283
107,Russian,0,185
108,Sakha,0,875
109,Cebaara Senoufo,0,390
110,Selkup,0,71
111,Koyraboro Senni Songhai,0,261
112,Spanish,0,1202
113,Suena,0,68
114,Savosavo,0,365
115,Atayal,0,1882
116,Ticuna,0,150
117,Tulu,0,86
118,Temein,0,842
119,Tigak,0,44
120,Tiwi,0,74
121,Tlingit,0,656
122,Tasomi-Tata,0,486
123,Tamnim Citak,0,19
124,Tacana,0,207
125,Tera,0,363
126,Tuvinian,0,613
127,Ngarinyin,0,511
128,Mbabaram,0,341
