Glottocode,language,periodicGlottalSource,elevation
tulu1258,Tulu,28,86
tuni1252,Tunica,16,40
tuuu1240,Tu,19,2746
tuvi1240,Tuvinian,21,613
twee1234,Tweed-Albert,16,51
tzel1254,Tzeltal,14,2091
uppe1439,Upper Chehalis,9,35
usan1239,Usan,16,724
vani1248,Vanimo,25,197
viet1252,Vietnamese,26,8
waim1251,Waima,9,9
waim1255,Waimaha,18,167
wame1240,Wamey,32,79
wang1291,Ngiyambaa,13,153
want1252,Wantoat,16,1967
waor1240,Waorani,18,259
wapi1253,Wapishana,17,130
wapp1239,Wappo,18,59
wara1290,Warray,13,29
wara1303,Warao,16,26
wari1266,Waris,17,640
wayu1243,Wayuu,18,37
west2369,Western Farsi,20,2174
west2397,Western Bru,32,161
west2600,West Makian,16,392
west2632,Western Keres,29,1852
west2644,Western Highland Chatino,18,1344
west2650,Western Cham,21,35
wich1260,Wichita,14,390
wikm1247,Wik-Mungkan,13,32
wint1259,Wintu,13,157
wiyo1248,Wiyot,13,449
wuch1236,Wu Chinese,18,205
yaga1260,Yagaria,17,1810
yagu1244,Yagua,17,97
yaku1245,Sakha,27,875
yana1271,Yana,18,25
yane1238,Yanesha',14,2474
yany1243,Yanyuwa,18,57
yaqu1251,Yaqui,14,788
yare1248,Yareba,14,223
yess1239,Yessan-Mayo,14,21
yidi1250,Yidiñ,16,7
yoru1245,Yoruba,22,105
yuca1254,Yucatec Maya,16,86
yuch1247,Yuchi,21,247
yucu1253,Yucuna,12,164
yuec1235,Yue Chinese,11,-3
yulu1243,Yulu,33,680
zand1248,Zande,28,638
zulu1248,Zulu,18,537
zuni1245,Zuni,10,2210
