Glottocode,language,high,elevation
qaqe1238,Qaqet,7,941
qaua1234,Central Gelao-Qau,14,1275
qawa1238,Qawasqar,5,80
quil1240,Quileute,11,16
quio1240,Quiotepec Chinantec,16,1441
resi1247,Resígaro,11,127
roma1327,Romanian,7,348
roto1249,Rotokas,4,283
ruka1240,Rukai,8,1689
russ1263,Russian,22,185
rutu1240,Rutul,13,1950
saba1265,Sa'ban,9,1002
sali1298,Sáliba,9,119
sand1273,Sandawe,27,1208
sang1328,Sango,11,503
sanm1287,San Mateo del Mar Huave,10,5
sanm1295,San Miguel El Grande Mixtec,7,2279
savo1255,Savosavo,8,365
seda1262,Sedang,19,1287
sele1250,Selepet,7,759
selk1253,Selkup,13,71
sene1264,Seneca,5,427
sgaw1245,S'gaw Karen,13,246
shas1239,Shasta,7,1111
shua1257,Shuar,10,1256
shus1248,Shuswap,14,660
sinh1246,Sinhala,11,51
sion1247,Siona-Tetete,12,236
siri1273,Sirionó,11,182
soma1255,Somali,9,211
soqo1240,Soqotri,7,929
sout2674,South Saami,25,141
sout2949,Southern Kiwai,5,37
sout2982,Southeastern Pomo,7,439
sout2985,Southern Sierra Miwok,7,780
sout2991,South Bolivian Quechua,10,4156
sout2994,Southern Nambikuára,14,687
stan1288,Spanish,9,1202
stan1290,French,10,124
stan1295,German,11,368
suen1241,Suena,6,68
suii1243,Sui,21,276
taca1256,Tacana,4,207
tach1250,Tachelhit,9,904
taga1270,Tagalog,7,93
taha1241,Tahaggart Tamahaq,10,760
talo1250,Tasomi-Tata,10,486
tama1331,Tama (Chad),11,1045
tamn1235,Tamnim Citak,5,19
tamp1252,Tampulma,15,129
taro1263,Tarok,9,210
tedi1235,Tedim Chin,7,1359
tehu1242,Tehuelche,11,299
teke1280,Teke-Kukuya,10,530
telu1262,Telugu,11,440
tera1251,Tera,27,363
tetu1245,Tetum,4,317
thai1261,Thai,8,3
ticu1245,Ticuna,12,150
tiga1245,Tigak,5,44
tigr1270,Tigre,7,2112
timn1235,Timne,6,48
tiru1241,Tiruray,8,435
tiwi1244,Tiwi,8,74
tlin1245,Tlingit,14,656
toar1246,Toaripi,3,7
toho1245,Tohono O'odham,7,640
toll1241,Tol,9,773
tonk1249,Tonkawa,10,86
toro1252,Toro So Dogon,9,279
tosk1239,Northern Tosk Albanian,9,88
toto1305,Totontepec Mixe,6,1423
trum1247,Trumai,6,284
tsou1248,Tsou,5,989
tulu1258,Tulu,11,86
tuni1252,Tunica,6,40
tuuu1240,Tu,7,2746
tuvi1240,Tuvinian,7,613
twee1234,Tweed-Albert,6,51
tzel1254,Tzeltal,7,2091
uppe1439,Upper Chehalis,7,35
usan1239,Usan,6,724
vani1248,Vanimo,4,197
viet1252,Vietnamese,11,8
waim1251,Waima,3,9
waim1255,Waimaha,10,167
wame1240,Wamey,22,79
wang1291,Ngiyambaa,6,153
want1252,Wantoat,8,1967
waor1240,Waorani,7,259
wapi1253,Wapishana,9,130
wapp1239,Wappo,7,59
wara1290,Warray,10,29
wara1303,Warao,7,26
wari1266,Waris,7,640
wayu1243,Wayuu,7,37
west2369,Western Farsi,6,2174
west2397,Western Bru,13,161
west2600,West Makian,5,392
west2632,Western Keres,17,1852
west2644,Western Highland Chatino,8,1344
west2650,Western Cham,11,35
wich1260,Wichita,9,390
wikm1247,Wik-Mungkan,6,32
wint1259,Wintu,7,157
wiyo1248,Wiyot,9,449
wuch1236,Wu Chinese,10,205
yaga1260,Yagaria,6,1810
yagu1244,Yagua,9,97
yaku1245,Sakha,11,875
yana1271,Yana,9,25
yane1238,Yanesha',10,2474
yany1243,Yanyuwa,10,57
yaqu1251,Yaqui,6,788
yare1248,Yareba,6,223
yess1239,Yessan-Mayo,7,21
yidi1250,Yidiñ,8,7
yoru1245,Yoruba,10,105
yuca1254,Yucatec Maya,8,86
yuch1247,Yuchi,10,247
yucu1253,Yucuna,5,164
yuec1235,Yue Chinese,9,-3
yulu1243,Yulu,16,680
zand1248,Zande,15,638
zulu1248,Zulu,11,537
zuni1245,Zuni,8,2210
