,language,back,elevation
taro1263,Tarok,3,210.0
tedi1235,Tedim Chin,3,1359.0
tehu1242,Tehuelche,4,299.0
teke1280,Teke-Kukuya,4,530.0
telu1262,Telugu,4,440.0
tera1251,Tera,3,363.0
tetu1245,Tetum,3,317.0
thai1261,Thai,4,3.0
ticu1245,Ticuna,5,150.0
tiga1245,Tigak,2,44.0
tigr1270,Tigre,5,2112.0
timn1235,Timne,5,48.0
tiru1241,Tiruray,3,435.0
tiwi1244,Tiwi,3,74.0
tlin1245,Tlingit,13,656.0
toar1246,Toaripi,3,7.0
toho1245,Tohono O'odham,3,640.0
toll1241,Tol,3,773.0
tonk1249,Tonkawa,5,86.0
toro1252,Toro So Dogon,6,279.0
tosk1239,Northern Tosk Albanian,2,88.0
toto1305,Totontepec Mixe,3,1423.0
trum1247,Trumai,3,284.0
tsou1248,Tsou,2,989.0
tulu1258,Tulu,5,86.0
tuni1252,Tunica,4,40.0
tuuu1240,Tu,4,2746.0
tuvi1240,Tuvinian,4,613.0
twee1234,Tweed-Albert,2,51.0
tzel1254,Tzeltal,3,2091.0
uppe1439,Upper Chehalis,8,35.0
usan1239,Usan,4,724.0
vani1248,Vanimo,6,197.0
viet1252,Vietnamese,9,8.0
waim1251,Waima,2,9.0
waim1255,Waimaha,5,167.0
wame1240,Wamey,4,79.0
wang1291,Ngiyambaa,2,153.0
want1252,Wantoat,2,1967.0
waor1240,Waorani,3,259.0
wapi1253,Wapishana,3,130.0
wapp1239,Wappo,2,59.0
wara1290,Warray,3,29.0
wara1303,Warao,4,26.0
wari1266,Waris,4,640.0
wayu1243,Wayuu,5,37.0
west2369,Western Farsi,6,2174.0
west2397,Western Bru,15,161.0
west2600,West Makian,2,392.0
west2632,Western Keres,3,1852.0
west2644,Western Highland Chatino,5,1344.0
west2650,Western Cham,4,35.0
wich1260,Wichita,6,390.0
wikm1247,Wik-Mungkan,3,32.0
wint1259,Wintu,6,157.0
wiyo1248,Wiyot,4,449.0
wuch1236,Wu Chinese,4,205.0
yaga1260,Yagaria,3,1810.0
yagu1244,Yagua,5,97.0
yaku1245,Sakha,4,875.0
yana1271,Yana,3,25.0
yane1238,Yanesha',2,2474.0
yany1243,Yanyuwa,2,57.0
yaqu1251,Yaqui,3,788.0
yare1248,Yareba,3,223.0
yess1239,Yessan-Mayo,2,21.0
yidi1250,Yidiñ,2,7.0
yoru1245,Yoruba,6,105.0
yuca1254,Yucatec Maya,5,86.0
yuch1247,Yuchi,5,247.0
yucu1253,Yucuna,3,164.0
yuec1235,Yue Chinese,3,-3.0
yulu1243,Yulu,4,680.0
zand1248,Zande,7,638.0
zulu1248,Zulu,3,537.0
zuni1245,Zuni,3,2210.0
