,language,trill,elevation
143,Western Keres,0,1852
144,East Kewa,0,1942
145,Teke-Kukuya,0,530
146,Klamath-Modoc,0,1299
147,Klao,0,66
148,Kwoma,0,31
149,Dera (Nigeria),0,195
150,Central Kanuri,0,314
151,Maharashtrian Konkani,0,723
152,Korean,0,154
153,Kpan,0,139
154,Koho,0,871
155,S'gaw Karen,0,246
156,Kalkutung,0,435
157,South-Eastern Ju,0,1161
158,Kunimaipa,0,1857
159,Border Kuna,0,460
160,Kwaio,0,564
161,Kwak'wala,0,112
162,Karok,0,676
163,Lakkia,0,767
164,Lelemi,0,519
165,Lahu,0,1476
166,Lakota,0,834
167,Peve,0,328
168,Luo (Kenya and Tanzania),0,1467
169,Northern Lushootseed,0,92
170,Central Mazahua,0,2941
171,Maxakalí,0,294
172,Donga Mambila,0,781
173,Dizin,0,2094
174,Mba,0,456
175,Eastern Mari,0,45
176,Mor (Bomberai Peninsula),0,27
177,Dadibi,0,1267
178,Maranao,0,969
179,Totontepec Mixe,0,1423
180,Burmese,0,711
181,Pirahã,0,75
182,Movima,0,146
183,Southern Nambikuára,0,687
184,Min Nan Chinese,0,35
185,Naasioi,0,1855
186,Navajo,0,2140
187,Naxi,0,3607
188,Northern Puebla Nahuatl,0,1496
189,Ndut,0,35
190,Eastern Pahari,0,3212
191,Kathmandu Valley Newari,0,288
192,Nez Perce,0,1041
193,Noone,0,1277
194,Niellim,0,358
195,Nimboran,0,61
196,Ao Naga,0,605
197,Northeast Maidu,0,1271
198,Norwegian Bokmål,0,20
199,Nuu-chah-nulth,0,614
200,Nung (Viet Nam),0,703
201,Ama (Sudan),0,697
202,Ocaina,0,114
203,Ogbia,0,21
204,Eastern Ojibwa,0,213
205,Tohono O'odham,0,640
206,Páez,0,3472
207,Panare,0,52
208,Bouyei,0,774
209,Southeastern Pomo,0,439
210,South Wa,0,1866
211,Quileute,0,16
212,Resígaro,0,127
213,Rotokas,0,283
214,Waima,0,9
215,Sandawe,0,1208
216,Sango,0,503
217,Seneca,0,427
218,Cebaara Senoufo,0,390
219,Selkup,0,71
220,Koyraboro Senni Songhai,0,261
221,Sentani,0,74
222,Ninam,0,575
223,Shuswap,0,660
224,Shasta,0,1111
225,Sinhala,0,51
226,Southern Sierra Miwok,0,780
227,Siona-Tetete,0,236
228,Sa'ban,0,1002
229,Somali,0,211
230,Selepet,0,759
231,Soqotri,0,929
232,Sirionó,0,182
233,Natügu,0,0
234,Suena,0,68
235,Savosavo,0,365
236,Sui,0,276
237,Atayal,0,1882
238,Aikanã,0,520
239,Ticuna,0,150
240,Telugu,0,440
241,Tagalog,0,93
242,Thai,0,3
243,Tiwi,0,74
244,Tlingit,0,656
245,Tasomi-Tata,0,486
246,Tamnim Citak,0,19
247,Tacana,0,207
248,Lenakel,0,219
249,Papantla Totonac,0,89
250,Toaripi,0,7
251,Tonkawa,0,86
252,Lishán Didán,0,1635
253,Southern-Coastal Tsimshian,0,278
254,Tsou,0,989
255,Taos Northern Tiwa,0,2143
256,Tzeltal,0,2091
257,Northern Uzbek,0,52
258,Vanimo,0,197
259,Vietnamese,0,8
260,Wappo,0,59
261,Wapishana,0,130
262,Warao,0,26
263,Wahgi,0,2160
264,Wichita,0,390
265,Wintu,0,157
266,Wiyot,0,449
267,Wantoat,0,1967
268,Usan,0,724
269,Wolof,0,53
270,Waris,0,640
271,Wu Chinese,0,205
272,Ngiyambaa,0,153
273,Kawaiisu,0,1560
274,Liberia Kpelle,0,285
275,Yagua,0,97
276,Yaqui,0,788
277,Yucuna,0,164
278,Tarok,0,210
279,Yagaria,0,1810
280,Yana,0,25
281,Yoruba,0,105
282,Yareba,0,223
283,Yucatec Maya,0,86
284,Yuchi,0,247
285,Yue Chinese,0,-3
286,Yawa,0,852
287,Zande,0,638
288,Copainalá Zoque,0,526
289,Zuni,0,2210
