,language,high,elevation
mbaa1245,Mba,10,456.0
mbab1239,Mbabaram,11,341.0
mbum1254,Mbum,14,830.0
mind1253,Min Dong Chinese,7,6.0
minn1241,Min Nan Chinese,6,35.0
mode1248,Modern Greek,7,190.0
mogh1245,Mogholi,8,942.0
morb1239,Mor (Bomberai Peninsula),6,27.0
moro1285,Moro,8,745.0
movi1243,Movima,6,146.0
muin1242,Muinane,11,177.0
mull1237,Mullukmulluk,6,40.0
mund1320,Mundari,9,50.0
murl1244,Murle,10,452.0
murr1258,Murriny Patha,7,0.0
naas1242,Naasioi,3,1855.0
nama1264,Nama (Namibia),27,1170.0
nana1257,Nanai,9,34.0
nara1262,Nara,7,788.0
natu1246,Natügu,18,0.0
nava1243,Navajo,12,2140.0
naxi1245,Naxi,17,3607.0
ndut1239,Ndut,13,35.0
nene1249,Tundra Nenets,18,0.0
newa1246,Kathmandu Valley Newari,8,288.0
nezp1238,Nez Perce,9,1041.0
ngan1291,Nganasan,13,0.0
ngar1284,Ngarinyin,10,511.0
ngas1240,Ngas,18,1130.0
ngiz1242,Ngizim,14,360.0
niel1243,Niellim,10,358.0
nina1238,Ninam,7,575.0
niva1238,Nivaclé,9,209.0
nobi1240,Nobiin,5,277.0
noon1243,Noone,11,1277.0
nort1550,Taos Northern Tiwa,13,2143.0
nort2641,Northern Kurdish,13,697.0
nort2690,Northern Uzbek,7,52.0
nort2697,North Azerbaijani,10,276.0
nort2735,Northern Dong,14,512.0
nort2745,Northern Yukaghir,11,0.0
nort2815,Northeastern Dinka,11,401.0
nort2819,Northern Bobo Madaré,12,467.0
nort2938,Northern Haida,20,80.0
nort2952,Northeast Maidu,9,1271.0
nort2957,Northern Puebla Nahuatl,4,1496.0
norw1259,Norwegian Bokmål,13,20.0
nucl1235,Eastern Armenian,6,1912.0
nucl1240,Mumuye,11,543.0
nucl1301,Turkish,11,1138.0
nucl1302,Georgian,6,1338.0
nucl1310,Burmese,14,711.0
nucl1339,Temein,9,842.0
nucl1347,Wolof,13,53.0
nucl1417,Igbo,25,8.0
nucl1454,Yawa,7,852.0
nucl1620,Wahgi,9,2160.0
nucl1632,Sentani,5,74.0
nucl1633,Nimboran,6,61.0
nucl1643,Japanese,6,127.0
nucl1649,Southern-Coastal Tsimshian,17,278.0
nung1283,Nung (Viet Nam),11,703.0
nung1290,Wubuy,6,6.0
nuuc1236,Nuu-chah-nulth,11,614.0
nyah1250,Nyahkur,16,556.0
nyan1313,Nyang'i,10,1369.0
nyis1236,Nyishi-Hill Miri,10,996.0
ocai1244,Ocaina,11,114.0
ogbi1239,Ogbia,12,21.0
ormu1247,Ormuri,6,2281.0
paco1243,Pacoh,6,757.0
paez1247,Páez,16,3472.0
paiw1248,Paiwan,9,608.0
papa1238,Papantla Totonac,7,89.0
para1301,South Wa,18,1866.0
para1311,Paraguayan Guaraní,16,184.0
pech1241,Pech,10,411.0
peve1243,Peve,8,328.0
pira1253,Pirahã,3,75.0
plat1254,Plateau Malagasy,5,1653.0
pohn1238,Pohnpeian,6,537.0
popt1235,Popti',7,2060.0
pure1242,Purepecha,13,2340.0
pwon1235,Pwo Northern Karen,10,1113.0
qaqe1238,Qaqet,7,941.0
qaua1234,Central Gelao-Qau,14,1275.0
qawa1238,Qawasqar,5,80.0
quil1240,Quileute,11,16.0
quio1240,Quiotepec Chinantec,16,1441.0
resi1247,Resígaro,11,127.0
roma1327,Romanian,7,348.0
roto1249,Rotokas,4,283.0
ruka1240,Rukai,8,1689.0
russ1263,Russian,22,185.0
rutu1240,Rutul,13,1950.0
saba1265,Sa'ban,9,1002.0
sali1298,Sáliba,9,119.0
sand1273,Sandawe,27,1208.0
sang1328,Sango,11,503.0
sanm1287,San Mateo del Mar Huave,10,5.0
sanm1295,San Miguel El Grande Mixtec,7,2279.0
savo1255,Savosavo,8,365.0
seda1262,Sedang,19,1287.0
sele1250,Selepet,7,759.0
selk1253,Selkup,13,71.0
sene1264,Seneca,5,427.0
sgaw1245,S'gaw Karen,13,246.0
shas1239,Shasta,7,1111.0
shua1257,Shuar,10,1256.0
shus1248,Shuswap,14,660.0
sinh1246,Sinhala,11,51.0
sion1247,Siona-Tetete,12,236.0
siri1273,Sirionó,11,182.0
soma1255,Somali,9,211.0
soqo1240,Soqotri,7,929.0
sout2674,South Saami,25,141.0
sout2949,Southern Kiwai,5,37.0
sout2982,Southeastern Pomo,7,439.0
sout2985,Southern Sierra Miwok,7,780.0
sout2991,South Bolivian Quechua,10,4156.0
sout2994,Southern Nambikuára,14,687.0
stan1288,Spanish,9,1202.0
stan1290,French,10,124.0
stan1295,German,11,368.0
suen1241,Suena,6,68.0
suii1243,Sui,21,276.0
taca1256,Tacana,4,207.0
tach1250,Tachelhit,9,904.0
taga1270,Tagalog,7,93.0
taha1241,Tahaggart Tamahaq,10,760.0
talo1250,Tasomi-Tata,10,486.0
tama1331,Tama (Chad),11,1045.0
tamn1235,Tamnim Citak,5,19.0
tamp1252,Tampulma,15,129.0
taro1263,Tarok,9,210.0
tedi1235,Tedim Chin,7,1359.0
tehu1242,Tehuelche,11,299.0
teke1280,Teke-Kukuya,10,530.0
telu1262,Telugu,11,440.0
tera1251,Tera,27,363.0
tetu1245,Tetum,4,317.0
thai1261,Thai,8,3.0
ticu1245,Ticuna,12,150.0
tiga1245,Tigak,5,44.0
tigr1270,Tigre,7,2112.0
timn1235,Timne,6,48.0
tiru1241,Tiruray,8,435.0
tiwi1244,Tiwi,8,74.0
tlin1245,Tlingit,14,656.0
toar1246,Toaripi,3,7.0
toho1245,Tohono O'odham,7,640.0
toll1241,Tol,9,773.0
tonk1249,Tonkawa,10,86.0
toro1252,Toro So Dogon,9,279.0
tosk1239,Northern Tosk Albanian,9,88.0
toto1305,Totontepec Mixe,6,1423.0
trum1247,Trumai,6,284.0
tsou1248,Tsou,5,989.0
tulu1258,Tulu,11,86.0
tuni1252,Tunica,6,40.0
tuuu1240,Tu,7,2746.0
tuvi1240,Tuvinian,7,613.0
twee1234,Tweed-Albert,6,51.0
tzel1254,Tzeltal,7,2091.0
uppe1439,Upper Chehalis,7,35.0
usan1239,Usan,6,724.0
vani1248,Vanimo,4,197.0
viet1252,Vietnamese,11,8.0
waim1251,Waima,3,9.0
waim1255,Waimaha,10,167.0
wame1240,Wamey,22,79.0
wang1291,Ngiyambaa,6,153.0
want1252,Wantoat,8,1967.0
waor1240,Waorani,7,259.0
wapi1253,Wapishana,9,130.0
wapp1239,Wappo,7,59.0
wara1290,Warray,10,29.0
wara1303,Warao,7,26.0
wari1266,Waris,7,640.0
wayu1243,Wayuu,7,37.0
west2369,Western Farsi,6,2174.0
west2397,Western Bru,13,161.0
west2600,West Makian,5,392.0
west2632,Western Keres,17,1852.0
west2644,Western Highland Chatino,8,1344.0
west2650,Western Cham,11,35.0
wich1260,Wichita,9,390.0
wikm1247,Wik-Mungkan,6,32.0
wint1259,Wintu,7,157.0
wiyo1248,Wiyot,9,449.0
wuch1236,Wu Chinese,10,205.0
yaga1260,Yagaria,6,1810.0
yagu1244,Yagua,9,97.0
yaku1245,Sakha,11,875.0
yana1271,Yana,9,25.0
yane1238,Yanesha',10,2474.0
yany1243,Yanyuwa,10,57.0
yaqu1251,Yaqui,6,788.0
yare1248,Yareba,6,223.0
yess1239,Yessan-Mayo,7,21.0
yidi1250,Yidiñ,8,7.0
yoru1245,Yoruba,10,105.0
yuca1254,Yucatec Maya,8,86.0
yuch1247,Yuchi,10,247.0
yucu1253,Yucuna,5,164.0
yuec1235,Yue Chinese,9,-3.0
yulu1243,Yulu,16,680.0
zand1248,Zande,15,638.0
zulu1248,Zulu,11,537.0
zuni1245,Zuni,8,2210.0
