Glottocode,language,syllabic,elevation
nucl1310,Burmese,13,711
nucl1339,Temein,7,842
nucl1347,Wolof,14,53
nucl1417,Igbo,16,8
nucl1454,Yawa,5,852
nucl1620,Wahgi,6,2160
nucl1632,Sentani,7,74
nucl1633,Nimboran,6,61
nucl1643,Japanese,5,127
nucl1649,Southern-Coastal Tsimshian,3,278
nung1283,Nung (Viet Nam),11,703
nung1290,Wubuy,4,6
nuuc1236,Nuu-chah-nulth,5,614
nyah1250,Nyahkur,24,556
nyan1313,Nyang'i,7,1369
nyis1236,Nyishi-Hill Miri,9,996
ocai1244,Ocaina,9,114
ogbi1239,Ogbia,10,21
ormu1247,Ormuri,6,2281
paco1243,Pacoh,15,757
paez1247,Páez,8,3472
paiw1248,Paiwan,4,608
papa1238,Papantla Totonac,6,89
para1301,South Wa,43,1866
para1311,Paraguayan Guaraní,12,184
pech1241,Pech,10,411
peve1243,Peve,8,328
pira1253,Pirahã,3,75
plat1254,Plateau Malagasy,4,1653
pohn1238,Pohnpeian,6,537
popt1235,Popti',5,2060
pure1242,Purepecha,6,2340
pwon1235,Pwo Northern Karen,12,1113
qaqe1238,Qaqet,8,941
qaua1234,Central Gelao-Qau,12,1275
qawa1238,Qawasqar,3,80
quil1240,Quileute,4,16
quio1240,Quiotepec Chinantec,15,1441
resi1247,Resígaro,5,127
roma1327,Romanian,10,348
roto1249,Rotokas,5,283
ruka1240,Rukai,4,1689
russ1263,Russian,5,185
rutu1240,Rutul,5,1950
saba1265,Sa'ban,7,1002
sali1298,Sáliba,10,119
sand1273,Sandawe,7,1208
sang1328,Sango,11,503
sanm1287,San Mateo del Mar Huave,6,5
sanm1295,San Miguel El Grande Mixtec,10,2279
savo1255,Savosavo,5,365
seda1262,Sedang,14,1287
sele1250,Selepet,6,759
selk1253,Selkup,16,71
sene1264,Seneca,8,427
sgaw1245,S'gaw Karen,9,246
shas1239,Shasta,4,1111
shua1257,Shuar,8,1256
shus1248,Shuswap,7,660
sinh1246,Sinhala,14,51
sion1247,Siona-Tetete,12,236
siri1273,Sirionó,12,182
soma1255,Somali,10,211
soqo1240,Soqotri,6,929
sout2674,South Saami,6,141
sout2949,Southern Kiwai,7,37
sout2982,Southeastern Pomo,5,439
sout2985,Southern Sierra Miwok,6,780
sout2991,South Bolivian Quechua,5,4156
sout2994,Southern Nambikuára,18,687
stan1288,Spanish,5,1202
stan1290,French,16,124
stan1295,German,19,368
suen1241,Suena,5,68
suii1243,Sui,7,276
taca1256,Tacana,4,207
tach1250,Tachelhit,3,904
taga1270,Tagalog,5,93
taha1241,Tahaggart Tamahaq,12,760
talo1250,Tasomi-Tata,7,486
tama1331,Tama (Chad),9,1045
tamn1235,Tamnim Citak,6,19
tamp1252,Tampulma,9,129
taro1263,Tarok,6,210
tedi1235,Tedim Chin,5,1359
tehu1242,Tehuelche,7,299
teke1280,Teke-Kukuya,7,530
telu1262,Telugu,11,440
tera1251,Tera,6,363
tetu1245,Tetum,5,317
