,language,periodicGlottalSource,elevation
nort2938,Northern Haida,16,80.0
nort2952,Northeast Maidu,13,1271.0
nort2957,Northern Puebla Nahuatl,9,1496.0
norw1259,Norwegian Bokmål,37,20.0
nucl1235,Eastern Armenian,16,1912.0
nucl1240,Mumuye,26,543.0
nucl1301,Turkish,23,1138.0
nucl1302,Georgian,14,1338.0
nucl1310,Burmese,26,711.0
nucl1339,Temein,20,842.0
nucl1347,Wolof,31,53.0
nucl1417,Igbo,42,8.0
nucl1454,Yawa,14,852.0
nucl1620,Wahgi,16,2160.0
nucl1632,Sentani,12,74.0
nucl1633,Nimboran,13,61.0
nucl1643,Japanese,15,127.0
nucl1649,Southern-Coastal Tsimshian,22,278.0
nung1283,Nung (Viet Nam),19,703.0
nung1290,Wubuy,17,6.0
nuuc1236,Nuu-chah-nulth,13,614.0
nyah1250,Nyahkur,34,556.0
nyan1313,Nyang'i,19,1369.0
nyis1236,Nyishi-Hill Miri,17,996.0
ocai1244,Ocaina,22,114.0
ogbi1239,Ogbia,28,21.0
ormu1247,Ormuri,20,2281.0
paco1243,Pacoh,26,757.0
paez1247,Páez,24,3472.0
paiw1248,Paiwan,18,608.0
papa1238,Papantla Totonac,11,89.0
para1301,South Wa,67,1866.0
para1311,Paraguayan Guaraní,25,184.0
pech1241,Pech,20,411.0
peve1243,Peve,29,328.0
pira1253,Pirahã,5,75.0
plat1254,Plateau Malagasy,17,1653.0
pohn1238,Pohnpeian,14,537.0
popt1235,Popti',13,2060.0
pure1242,Purepecha,19,2340.0
pwon1235,Pwo Northern Karen,23,1113.0
qaqe1238,Qaqet,18,941.0
qaua1234,Central Gelao-Qau,21,1275.0
qawa1238,Qawasqar,9,80.0
quil1240,Quileute,10,16.0
quio1240,Quiotepec Chinantec,26,1441.0
resi1247,Resígaro,16,127.0
roma1327,Romanian,23,348.0
roto1249,Rotokas,8,283.0
ruka1240,Rukai,18,1689.0
russ1263,Russian,24,185.0
rutu1240,Rutul,28,1950.0
saba1265,Sa'ban,19,1002.0
sali1298,Sáliba,22,119.0
sand1273,Sandawe,17,1208.0
sang1328,Sango,30,503.0
sanm1287,San Mateo del Mar Huave,21,5.0
sanm1295,San Miguel El Grande Mixtec,16,2279.0
savo1255,Savosavo,18,365.0
seda1262,Sedang,36,1287.0
sele1250,Selepet,16,759.0
selk1253,Selkup,26,71.0
sene1264,Seneca,14,427.0
sgaw1245,S'gaw Karen,22,246.0
shas1239,Shasta,9,1111.0
shua1257,Shuar,14,1256.0
shus1248,Shuswap,22,660.0
sinh1246,Sinhala,28,51.0
sion1247,Siona-Tetete,16,236.0
siri1273,Sirionó,20,182.0
soma1255,Somali,22,211.0
soqo1240,Soqotri,21,929.0
sout2674,South Saami,29,141.0
sout2949,Southern Kiwai,14,37.0
sout2982,Southeastern Pomo,13,439.0
sout2985,Southern Sierra Miwok,12,780.0
sout2991,South Bolivian Quechua,17,4156.0
sout2994,Southern Nambikuára,26,687.0
stan1288,Spanish,17,1202.0
stan1290,French,31,124.0
stan1295,German,31,368.0
suen1241,Suena,14,68.0
suii1243,Sui,29,276.0
taca1256,Tacana,14,207.0
tach1250,Tachelhit,20,904.0
taga1270,Tagalog,15,93.0
taha1241,Tahaggart Tamahaq,28,760.0
talo1250,Tasomi-Tata,20,486.0
tama1331,Tama (Chad),24,1045.0
tamn1235,Tamnim Citak,11,19.0
tamp1252,Tampulma,25,129.0
taro1263,Tarok,23,210.0
tedi1235,Tedim Chin,16,1359.0
tehu1242,Tehuelche,15,299.0
teke1280,Teke-Kukuya,20,530.0
telu1262,Telugu,30,440.0
tera1251,Tera,36,363.0
