Glottocode,language,distributed,elevation
nucl1454,Yawa,1,852
nucl1620,Wahgi,4,2160
nucl1633,Nimboran,5,61
nucl1643,Japanese,5,127
nung1283,Nung (Viet Nam),3,703
nung1290,Wubuy,4,6
nuuc1236,Nuu-chah-nulth,5,614
nyah1250,Nyahkur,4,556
nyan1313,Nyang'i,4,1369
nyis1236,Nyishi-Hill Miri,1,996
ocai1244,Ocaina,5,114
ogbi1239,Ogbia,1,21
ormu1247,Ormuri,4,2281
paco1243,Pacoh,2,757
paez1247,Páez,6,3472
paiw1248,Paiwan,1,608
papa1238,Papantla Totonac,2,89
para1301,South Wa,11,1866
para1311,Paraguayan Guaraní,8,184
pech1241,Pech,2,411
plat1254,Plateau Malagasy,4,1653
pohn1238,Pohnpeian,3,537
popt1235,Popti',3,2060
pure1242,Purepecha,6,2340
pwon1235,Pwo Northern Karen,6,1113
qaua1234,Central Gelao-Qau,4,1275
qawa1238,Qawasqar,2,80
quil1240,Quileute,3,16
quio1240,Quiotepec Chinantec,3,1441
resi1247,Resígaro,6,127
roma1327,Romanian,12,348
ruka1240,Rukai,4,1689
russ1263,Russian,17,185
rutu1240,Rutul,6,1950
saba1265,Sa'ban,3,1002
sali1298,Sáliba,3,119
sand1273,Sandawe,10,1208
sang1328,Sango,4,503
sanm1295,San Miguel El Grande Mixtec,4,2279
savo1255,Savosavo,2,365
seda1262,Sedang,6,1287
sele1250,Selepet,3,759
selk1253,Selkup,2,71
sgaw1245,S'gaw Karen,6,246
shas1239,Shasta,2,1111
shua1257,Shuar,3,1256
shus1248,Shuswap,3,660
sinh1246,Sinhala,6,51
sion1247,Siona-Tetete,2,236
siri1273,Sirionó,3,182
soma1255,Somali,4,211
soqo1240,Soqotri,3,929
sout2674,South Saami,4,141
sout2982,Southeastern Pomo,3,439
sout2985,Southern Sierra Miwok,4,780
sout2991,South Bolivian Quechua,7,4156
sout2994,Southern Nambikuára,2,687
stan1288,Spanish,9,1202
stan1290,French,9,124
stan1295,German,2,368
suii1243,Sui,6,276
taca1256,Tacana,3,207
tach1250,Tachelhit,2,904
taga1270,Tagalog,4,93
taha1241,Tahaggart Tamahaq,14,760
talo1250,Tasomi-Tata,3,486
tama1331,Tama (Chad),4,1045
tamn1235,Tamnim Citak,2,19
tamp1252,Tampulma,3,129
taro1263,Tarok,4,210
tehu1242,Tehuelche,14,299
teke1280,Teke-Kukuya,3,530
telu1262,Telugu,3,440
tera1251,Tera,7,363
thai1261,Thai,7,3
ticu1245,Ticuna,3,150
tigr1270,Tigre,9,2112
timn1235,Timne,1,48
tiwi1244,Tiwi,3,74
tlin1245,Tlingit,3,656
toho1245,Tohono O'odham,8,640
tonk1249,Tonkawa,2,86
toro1252,Toro So Dogon,2,279
tosk1239,Northern Tosk Albanian,13,88
toto1305,Totontepec Mixe,5,1423
trum1247,Trumai,5,284
tulu1258,Tulu,8,86
tuni1252,Tunica,2,40
tuuu1240,Tu,4,2746
tuvi1240,Tuvinian,10,613
twee1234,Tweed-Albert,2,51
tzel1254,Tzeltal,8,2091
uppe1439,Upper Chehalis,3,35
vani1248,Vanimo,1,197
viet1252,Vietnamese,6,8
waim1251,Waima,3,9
wame1240,Wamey,7,79
wang1291,Ngiyambaa,3,153
waor1240,Waorani,1,259
wapi1253,Wapishana,3,130
wapp1239,Wappo,6,59
wara1290,Warray,3,29
wayu1243,Wayuu,2,37
west2369,Western Farsi,7,2174
west2397,Western Bru,1,161
west2600,West Makian,6,392
west2632,Western Keres,20,1852
west2644,Western Highland Chatino,1,1344
west2650,Western Cham,4,35
wikm1247,Wik-Mungkan,1,32
wint1259,Wintu,5,157
wiyo1248,Wiyot,4,449
yagu1244,Yagua,1,97
yaku1245,Sakha,8,875
yana1271,Yana,8,25
yane1238,Yanesha',4,2474
yany1243,Yanyuwa,6,57
yaqu1251,Yaqui,1,788
yidi1250,Yidiñ,2,7
yoru1245,Yoruba,2,105
yuca1254,Yucatec Maya,3,86
yuch1247,Yuchi,6,247
yucu1253,Yucuna,2,164
yuec1235,Yue Chinese,3,-3
yulu1243,Yulu,16,680
zand1248,Zande,1,638
zulu1248,Zulu,5,537
zuni1245,Zuni,3,2210
