,language,consonantal,elevation
sinh1246,Sinhala,19,51.0
sion1247,Siona-Tetete,14,236.0
siri1273,Sirionó,13,182.0
soma1255,Somali,19,211.0
soqo1240,Soqotri,25,929.0
sout2674,South Saami,34,141.0
sout2949,Southern Kiwai,11,37.0
sout2982,Southeastern Pomo,24,439.0
sout2985,Southern Sierra Miwok,12,780.0
sout2991,South Bolivian Quechua,28,4156.0
sout2994,Southern Nambikuára,21,687.0
stan1288,Spanish,18,1202.0
stan1290,French,18,124.0
stan1295,German,20,368.0
suen1241,Suena,11,68.0
suii1243,Sui,42,276.0
taca1256,Tacana,16,207.0
tach1250,Tachelhit,25,904.0
taga1270,Tagalog,15,93.0
taha1241,Tahaggart Tamahaq,22,760.0
talo1250,Tasomi-Tata,12,486.0
tama1331,Tama (Chad),18,1045.0
tamn1235,Tamnim Citak,10,19.0
tamp1252,Tampulma,21,129.0
taro1263,Tarok,23,210.0
tedi1235,Tedim Chin,19,1359.0
tehu1242,Tehuelche,25,299.0
teke1280,Teke-Kukuya,18,530.0
telu1262,Telugu,28,440.0
tera1251,Tera,40,363.0
tetu1245,Tetum,12,317.0
thai1261,Thai,18,3.0
ticu1245,Ticuna,17,150.0
tiga1245,Tigak,12,44.0
tigr1270,Tigre,23,2112.0
timn1235,Timne,14,48.0
tiru1241,Tiruray,13,435.0
tiwi1244,Tiwi,20,74.0
tlin1245,Tlingit,41,656.0
toar1246,Toaripi,7,7.0
toho1245,Tohono O'odham,16,640.0
toll1241,Tol,19,773.0
tonk1249,Tonkawa,12,86.0
toro1252,Toro So Dogon,13,279.0
tosk1239,Northern Tosk Albanian,26,88.0
toto1305,Totontepec Mixe,13,1423.0
trum1247,Trumai,15,284.0
tsou1248,Tsou,14,989.0
tulu1258,Tulu,22,86.0
tuni1252,Tunica,14,40.0
tuuu1240,Tu,22,2746.0
tuvi1240,Tuvinian,19,613.0
twee1234,Tweed-Albert,10,51.0
tzel1254,Tzeltal,20,2091.0
uppe1439,Upper Chehalis,27,35.0
usan1239,Usan,12,724.0
vani1248,Vanimo,11,197.0
viet1252,Vietnamese,19,8.0
waim1251,Waima,8,9.0
waim1255,Waimaha,8,167.0
wame1240,Wamey,35,79.0
wang1291,Ngiyambaa,13,153.0
want1252,Wantoat,14,1967.0
waor1240,Waorani,10,259.0
wapi1253,Wapishana,15,130.0
wapp1239,Wappo,27,59.0
wara1290,Warray,14,29.0
wara1303,Warao,8,26.0
wari1266,Waris,11,640.0
wayu1243,Wayuu,11,37.0
west2369,Western Farsi,21,2174.0
west2397,Western Bru,17,161.0
west2600,West Makian,16,392.0
west2632,Western Keres,34,1852.0
west2644,Western Highland Chatino,13,1344.0
west2650,Western Cham,18,35.0
wich1260,Wichita,18,390.0
wikm1247,Wik-Mungkan,11,32.0
wint1259,Wintu,26,157.0
wiyo1248,Wiyot,20,449.0
wuch1236,Wu Chinese,18,205.0
yaga1260,Yagaria,12,1810.0
yagu1244,Yagua,8,97.0
yaku1245,Sakha,20,875.0
yana1271,Yana,19,25.0
yane1238,Yanesha',21,2474.0
yany1243,Yanyuwa,27,57.0
yaqu1251,Yaqui,14,788.0
yare1248,Yareba,11,223.0
yess1239,Yessan-Mayo,13,21.0
yidi1250,Yidiñ,11,7.0
yoru1245,Yoruba,15,105.0
yuca1254,Yucatec Maya,17,86.0
yuch1247,Yuchi,33,247.0
yucu1253,Yucuna,13,164.0
yuec1235,Yue Chinese,17,-3.0
yulu1243,Yulu,32,680.0
zand1248,Zande,16,638.0
zulu1248,Zulu,28,537.0
zuni1245,Zuni,17,2210.0
