Glottocode,language,labial,elevation
sout2991,South Bolivian Quechua,9,4156
sout2994,Southern Nambikuára,14,687
stan1288,Spanish,7,1202
stan1290,French,17,124
stan1295,German,15,368
suen1241,Suena,6,68
suii1243,Sui,16,276
taca1256,Tacana,6,207
tach1250,Tachelhit,5,904
taga1270,Tagalog,7,93
taha1241,Tahaggart Tamahaq,9,760
talo1250,Tasomi-Tata,6,486
tama1331,Tama (Chad),9,1045
tamn1235,Tamnim Citak,6,19
tamp1252,Tampulma,12,129
taro1263,Tarok,11,210
tedi1235,Tedim Chin,8,1359
tehu1242,Tehuelche,7,299
teke1280,Teke-Kukuya,11,530
telu1262,Telugu,12,440
tera1251,Tera,17,363
tetu1245,Tetum,7,317
thai1261,Thai,9,3
ticu1245,Ticuna,10,150
tiga1245,Tigak,7,44
tigr1270,Tigre,6,2112
timn1235,Timne,9,48
tiru1241,Tiruray,6,435
tiwi1244,Tiwi,6,74
tlin1245,Tlingit,16,656
toar1246,Toaripi,6,7
toho1245,Tohono O'odham,6,640
toll1241,Tol,8,773
tonk1249,Tonkawa,9,86
toro1252,Toro So Dogon,9,279
tosk1239,Northern Tosk Albanian,8,88
toto1305,Totontepec Mixe,6,1423
trum1247,Trumai,6,284
tsou1248,Tsou,8,989
tulu1258,Tulu,9,86
tuni1252,Tunica,7,40
tuuu1240,Tu,6,2746
tuvi1240,Tuvinian,9,613
twee1234,Tweed-Albert,4,51
tzel1254,Tzeltal,8,2091
uppe1439,Upper Chehalis,11,35
usan1239,Usan,7,724
vani1248,Vanimo,12,197
viet1252,Vietnamese,10,8
waim1251,Waima,5,9
waim1255,Waimaha,7,167
wame1240,Wamey,16,79
wang1291,Ngiyambaa,4,153
want1252,Wantoat,7,1967
waor1240,Waorani,6,259
wapi1253,Wapishana,6,130
wapp1239,Wappo,8,59
wara1290,Warray,6,29
wara1303,Warao,8,26
wari1266,Waris,7,640
wayu1243,Wayuu,7,37
west2369,Western Farsi,8,2174
west2397,Western Bru,13,161
west2600,West Makian,6,392
west2632,Western Keres,8,1852
west2644,Western Highland Chatino,8,1344
west2650,Western Cham,8,35
wich1260,Wichita,8,390
wikm1247,Wik-Mungkan,5,32
wint1259,Wintu,9,157
wiyo1248,Wiyot,8,449
wuch1236,Wu Chinese,10,205
yaga1260,Yagaria,7,1810
yagu1244,Yagua,7,97
yaku1245,Sakha,11,875
yana1271,Yana,7,25
yane1238,Yanesha',7,2474
yany1243,Yanyuwa,5,57
yaqu1251,Yaqui,7,788
yare1248,Yareba,6,223
yess1239,Yessan-Mayo,6,21
yidi1250,Yidiñ,4,7
yoru1245,Yoruba,11,105
yuca1254,Yucatec Maya,9,86
yuch1247,Yuchi,11,247
yucu1253,Yucuna,6,164
yuec1235,Yue Chinese,9,-3
yulu1243,Yulu,15,680
zand1248,Zande,14,638
zulu1248,Zulu,10,537
zuni1245,Zuni,7,2210
