,language,anterior,elevation
taha1241,Tahaggart Tamahaq,10,760.0
talo1250,Tasomi-Tata,6,486.0
tama1331,Tama (Chad),8,1045.0
tamn1235,Tamnim Citak,4,19.0
tamp1252,Tampulma,7,129.0
taro1263,Tarok,8,210.0
tedi1235,Tedim Chin,9,1359.0
tehu1242,Tehuelche,13,299.0
teke1280,Teke-Kukuya,5,530.0
telu1262,Telugu,11,440.0
tera1251,Tera,13,363.0
tetu1245,Tetum,6,317.0
thai1261,Thai,9,3.0
ticu1245,Ticuna,5,150.0
tiga1245,Tigak,5,44.0
tigr1270,Tigre,9,2112.0
timn1235,Timne,7,48.0
tiru1241,Tiruray,6,435.0
tiwi1244,Tiwi,8,74.0
tlin1245,Tlingit,14,656.0
toar1246,Toaripi,3,7.0
toho1245,Tohono O'odham,4,640.0
toll1241,Tol,9,773.0
tonk1249,Tonkawa,5,86.0
toro1252,Toro So Dogon,6,279.0
tosk1239,Northern Tosk Albanian,12,88.0
toto1305,Totontepec Mixe,5,1423.0
trum1247,Trumai,8,284.0
tsou1248,Tsou,3,989.0
tulu1258,Tulu,6,86.0
tuni1252,Tunica,6,40.0
tuuu1240,Tu,8,2746.0
tuvi1240,Tuvinian,8,613.0
twee1234,Tweed-Albert,4,51.0
tzel1254,Tzeltal,12,2091.0
uppe1439,Upper Chehalis,9,35.0
usan1239,Usan,5,724.0
vani1248,Vanimo,6,197.0
viet1252,Vietnamese,7,8.0
waim1251,Waima,3,9.0
waim1255,Waimaha,4,167.0
wame1240,Wamey,10,79.0
wang1291,Ngiyambaa,7,153.0
want1252,Wantoat,5,1967.0
waor1240,Waorani,3,259.0
wapi1253,Wapishana,5,130.0
wapp1239,Wappo,14,59.0
wara1290,Warray,5,29.0
wara1303,Warao,4,26.0
wari1266,Waris,5,640.0
wayu1243,Wayuu,5,37.0
west2369,Western Farsi,7,2174.0
west2397,Western Bru,8,161.0
west2600,West Makian,6,392.0
west2632,Western Keres,13,1852.0
west2644,Western Highland Chatino,6,1344.0
west2650,Western Cham,6,35.0
wich1260,Wichita,11,390.0
wikm1247,Wik-Mungkan,5,32.0
wint1259,Wintu,10,157.0
wiyo1248,Wiyot,8,449.0
wuch1236,Wu Chinese,10,205.0
yaga1260,Yagaria,4,1810.0
yagu1244,Yagua,4,97.0
yaku1245,Sakha,7,875.0
yana1271,Yana,7,25.0
yane1238,Yanesha',6,2474.0
yany1243,Yanyuwa,10,57.0
yaqu1251,Yaqui,6,788.0
yare1248,Yareba,6,223.0
yess1239,Yessan-Mayo,6,21.0
yidi1250,Yidiñ,4,7.0
yoru1245,Yoruba,6,105.0
yuca1254,Yucatec Maya,7,86.0
yuch1247,Yuchi,16,247.0
yucu1253,Yucuna,6,164.0
yuec1235,Yue Chinese,5,-3.0
yulu1243,Yulu,11,680.0
zand1248,Zande,6,638.0
zulu1248,Zulu,12,537.0
zuni1245,Zuni,7,2210.0
