,language,approximant,elevation
ocai1244,Ocaina,10,114.0
ogbi1239,Ogbia,14,21.0
ormu1247,Ormuri,10,2281.0
paco1243,Pacoh,19,757.0
paez1247,Páez,13,3472.0
paiw1248,Paiwan,8,608.0
papa1238,Papantla Totonac,9,89.0
para1301,South Wa,47,1866.0
para1311,Paraguayan Guaraní,16,184.0
pech1241,Pech,16,411.0
peve1243,Peve,12,328.0
pira1253,Pirahã,3,75.0
plat1254,Plateau Malagasy,8,1653.0
pohn1238,Pohnpeian,10,537.0
popt1235,Popti',9,2060.0
pure1242,Purepecha,12,2340.0
pwon1235,Pwo Northern Karen,14,1113.0
qaqe1238,Qaqet,11,941.0
qaua1234,Central Gelao-Qau,14,1275.0
qawa1238,Qawasqar,7,80.0
quil1240,Quileute,7,16.0
quio1240,Quiotepec Chinantec,19,1441.0
resi1247,Resígaro,7,127.0
roma1327,Romanian,14,348.0
roto1249,Rotokas,6,283.0
ruka1240,Rukai,9,1689.0
russ1263,Russian,10,185.0
rutu1240,Rutul,9,1950.0
saba1265,Sa'ban,11,1002.0
sali1298,Sáliba,13,119.0
sand1273,Sandawe,11,1208.0
sang1328,Sango,15,503.0
sanm1287,San Mateo del Mar Huave,11,5.0
sanm1295,San Miguel El Grande Mixtec,12,2279.0
savo1255,Savosavo,7,365.0
seda1262,Sedang,25,1287.0
sele1250,Selepet,10,759.0
selk1253,Selkup,21,71.0
sene1264,Seneca,10,427.0
sgaw1245,S'gaw Karen,12,246.0
shas1239,Shasta,7,1111.0
shua1257,Shuar,11,1256.0
shus1248,Shuswap,18,660.0
sinh1246,Sinhala,18,51.0
sion1247,Siona-Tetete,14,236.0
siri1273,Sirionó,15,182.0
soma1255,Somali,14,211.0
soqo1240,Soqotri,12,929.0
sout2674,South Saami,13,141.0
sout2949,Southern Kiwai,9,37.0
sout2982,Southeastern Pomo,9,439.0
sout2985,Southern Sierra Miwok,9,780.0
sout2991,South Bolivian Quechua,11,4156.0
sout2994,Southern Nambikuára,22,687.0
stan1288,Spanish,11,1202.0
stan1290,French,21,124.0
stan1295,German,22,368.0
suen1241,Suena,8,68.0
suii1243,Sui,12,276.0
taca1256,Tacana,8,207.0
tach1250,Tachelhit,9,904.0
taga1270,Tagalog,9,93.0
taha1241,Tahaggart Tamahaq,16,760.0
talo1250,Tasomi-Tata,11,486.0
tama1331,Tama (Chad),14,1045.0
tamn1235,Tamnim Citak,8,19.0
tamp1252,Tampulma,13,129.0
taro1263,Tarok,10,210.0
tedi1235,Tedim Chin,8,1359.0
tehu1242,Tehuelche,12,299.0
teke1280,Teke-Kukuya,10,530.0
telu1262,Telugu,17,440.0
tera1251,Tera,10,363.0
tetu1245,Tetum,8,317.0
thai1261,Thai,13,3.0
ticu1245,Ticuna,13,150.0
tiga1245,Tigak,6,44.0
tigr1270,Tigre,11,2112.0
timn1235,Timne,12,48.0
tiru1241,Tiruray,10,435.0
tiwi1244,Tiwi,10,74.0
tlin1245,Tlingit,7,656.0
toar1246,Toaripi,7,7.0
toho1245,Tohono O'odham,8,640.0
toll1241,Tol,9,773.0
tonk1249,Tonkawa,13,86.0
toro1252,Toro So Dogon,16,279.0
tosk1239,Northern Tosk Albanian,11,88.0
toto1305,Totontepec Mixe,10,1423.0
trum1247,Trumai,10,284.0
tsou1248,Tsou,7,989.0
tulu1258,Tulu,18,86.0
tuni1252,Tunica,11,40.0
tuuu1240,Tu,7,2746.0
tuvi1240,Tuvinian,12,613.0
twee1234,Tweed-Albert,8,51.0
tzel1254,Tzeltal,9,2091.0
uppe1439,Upper Chehalis,7,35.0
usan1239,Usan,8,724.0
vani1248,Vanimo,17,197.0
viet1252,Vietnamese,17,8.0
waim1251,Waima,6,9.0
waim1255,Waimaha,15,167.0
wame1240,Wamey,15,79.0
wang1291,Ngiyambaa,8,153.0
want1252,Wantoat,7,1967.0
waor1240,Waorani,11,259.0
wapi1253,Wapishana,10,130.0
wapp1239,Wappo,11,59.0
wara1290,Warray,9,29.0
wara1303,Warao,13,26.0
wari1266,Waris,13,640.0
wayu1243,Wayuu,16,37.0
west2369,Western Farsi,10,2174.0
west2397,Western Bru,26,161.0
west2600,West Makian,8,392.0
west2632,Western Keres,18,1852.0
west2644,Western Highland Chatino,13,1344.0
west2650,Western Cham,15,35.0
wich1260,Wichita,11,390.0
wikm1247,Wik-Mungkan,9,32.0
wint1259,Wintu,8,157.0
wiyo1248,Wiyot,11,449.0
wuch1236,Wu Chinese,12,205.0
yaga1260,Yagaria,11,1810.0
yagu1244,Yagua,15,97.0
yaku1245,Sakha,16,875.0
yana1271,Yana,12,25.0
yane1238,Yanesha',7,2474.0
yany1243,Yanyuwa,11,57.0
yaqu1251,Yaqui,9,788.0
yare1248,Yareba,8,223.0
yess1239,Yessan-Mayo,8,21.0
yidi1250,Yidiñ,8,7.0
yoru1245,Yoruba,15,105.0
yuca1254,Yucatec Maya,13,86.0
yuch1247,Yuchi,14,247.0
yucu1253,Yucuna,9,164.0
yuec1235,Yue Chinese,9,-3.0
yulu1243,Yulu,11,680.0
zand1248,Zande,19,638.0
zulu1248,Zulu,9,537.0
zuni1245,Zuni,8,2210.0
