Glottocode,language,approximant,elevation
nucl1632,Sentani,9,74
nucl1633,Nimboran,7,61
nucl1643,Japanese,8,127
nucl1649,Southern-Coastal Tsimshian,11,278
nung1283,Nung (Viet Nam),14,703
nung1290,Wubuy,11,6
nuuc1236,Nuu-chah-nulth,9,614
nyah1250,Nyahkur,30,556
nyan1313,Nyang'i,11,1369
nyis1236,Nyishi-Hill Miri,12,996
ocai1244,Ocaina,10,114
ogbi1239,Ogbia,14,21
ormu1247,Ormuri,10,2281
paco1243,Pacoh,19,757
paez1247,Páez,13,3472
paiw1248,Paiwan,8,608
papa1238,Papantla Totonac,9,89
para1301,South Wa,47,1866
para1311,Paraguayan Guaraní,16,184
pech1241,Pech,16,411
peve1243,Peve,12,328
pira1253,Pirahã,3,75
plat1254,Plateau Malagasy,8,1653
pohn1238,Pohnpeian,10,537
popt1235,Popti',9,2060
pure1242,Purepecha,12,2340
pwon1235,Pwo Northern Karen,14,1113
qaqe1238,Qaqet,11,941
qaua1234,Central Gelao-Qau,14,1275
qawa1238,Qawasqar,7,80
quil1240,Quileute,7,16
quio1240,Quiotepec Chinantec,19,1441
resi1247,Resígaro,7,127
roma1327,Romanian,14,348
roto1249,Rotokas,6,283
ruka1240,Rukai,9,1689
russ1263,Russian,10,185
rutu1240,Rutul,9,1950
saba1265,Sa'ban,11,1002
sali1298,Sáliba,13,119
sand1273,Sandawe,11,1208
sang1328,Sango,15,503
sanm1287,San Mateo del Mar Huave,11,5
sanm1295,San Miguel El Grande Mixtec,12,2279
savo1255,Savosavo,7,365
seda1262,Sedang,25,1287
sele1250,Selepet,10,759
selk1253,Selkup,21,71
sene1264,Seneca,10,427
sgaw1245,S'gaw Karen,12,246
shas1239,Shasta,7,1111
shua1257,Shuar,11,1256
shus1248,Shuswap,18,660
sinh1246,Sinhala,18,51
sion1247,Siona-Tetete,14,236
siri1273,Sirionó,15,182
soma1255,Somali,14,211
soqo1240,Soqotri,12,929
sout2674,South Saami,13,141
sout2949,Southern Kiwai,9,37
sout2982,Southeastern Pomo,9,439
sout2985,Southern Sierra Miwok,9,780
sout2991,South Bolivian Quechua,11,4156
sout2994,Southern Nambikuára,22,687
stan1288,Spanish,11,1202
stan1290,French,21,124
stan1295,German,22,368
suen1241,Suena,8,68
suii1243,Sui,12,276
taca1256,Tacana,8,207
tach1250,Tachelhit,9,904
taga1270,Tagalog,9,93
taha1241,Tahaggart Tamahaq,16,760
talo1250,Tasomi-Tata,11,486
tama1331,Tama (Chad),14,1045
tamn1235,Tamnim Citak,8,19
tamp1252,Tampulma,13,129
taro1263,Tarok,10,210
tedi1235,Tedim Chin,8,1359
tehu1242,Tehuelche,12,299
teke1280,Teke-Kukuya,10,530
telu1262,Telugu,17,440
tera1251,Tera,10,363
tetu1245,Tetum,8,317
thai1261,Thai,13,3
ticu1245,Ticuna,13,150
tiga1245,Tigak,6,44
tigr1270,Tigre,11,2112
timn1235,Timne,12,48
tiru1241,Tiruray,10,435
tiwi1244,Tiwi,10,74
tlin1245,Tlingit,7,656
toar1246,Toaripi,7,7
toho1245,Tohono O'odham,8,640
toll1241,Tol,9,773
tonk1249,Tonkawa,13,86
toro1252,Toro So Dogon,16,279
tosk1239,Northern Tosk Albanian,11,88
toto1305,Totontepec Mixe,10,1423
trum1247,Trumai,10,284
tsou1248,Tsou,7,989
tulu1258,Tulu,18,86
tuni1252,Tunica,11,40
tuuu1240,Tu,7,2746
tuvi1240,Tuvinian,12,613
twee1234,Tweed-Albert,8,51
tzel1254,Tzeltal,9,2091
uppe1439,Upper Chehalis,7,35
usan1239,Usan,8,724
vani1248,Vanimo,17,197
