Glottocode,language,front,elevation
tonk1249,Tonkawa,5,86
toro1252,Toro So Dogon,7,279
tosk1239,Northern Tosk Albanian,6,88
toto1305,Totontepec Mixe,4,1423
trum1247,Trumai,3,284
tsou1248,Tsou,2,989
tulu1258,Tulu,8,86
tuni1252,Tunica,4,40
tuuu1240,Tu,3,2746
tuvi1240,Tuvinian,6,613
twee1234,Tweed-Albert,3,51
tzel1254,Tzeltal,3,2091
uppe1439,Upper Chehalis,2,35
usan1239,Usan,3,724
vani1248,Vanimo,6,197
viet1252,Vietnamese,6,8
waim1251,Waima,2,9
waim1255,Waimaha,5,167
wame1240,Wamey,11,79
wang1291,Ngiyambaa,2,153
want1252,Wantoat,3,1967
waor1240,Waorani,7,259
wapi1253,Wapishana,2,130
wapp1239,Wappo,4,59
wara1290,Warray,6,29
wara1303,Warao,5,26
wari1266,Waris,5,640
wayu1243,Wayuu,7,37
west2369,Western Farsi,3,2174
west2397,Western Bru,9,161
west2600,West Makian,2,392
west2632,Western Keres,9,1852
west2644,Western Highland Chatino,5,1344
west2650,Western Cham,7,35
wich1260,Wichita,4,390
wikm1247,Wik-Mungkan,3,32
wint1259,Wintu,3,157
wiyo1248,Wiyot,3,449
wuch1236,Wu Chinese,5,205
yaga1260,Yagaria,4,1810
yagu1244,Yagua,5,97
yaku1245,Sakha,9,875
yana1271,Yana,3,25
yane1238,Yanesha',7,2474
yany1243,Yanyuwa,4,57
yaqu1251,Yaqui,3,788
yare1248,Yareba,3,223
yess1239,Yessan-Mayo,1,21
yidi1250,Yidiñ,4,7
yoru1245,Yoruba,6,105
yuca1254,Yucatec Maya,5,86
yuch1247,Yuchi,6,247
yucu1253,Yucuna,3,164
yuec1235,Yue Chinese,3,-3
yulu1243,Yulu,9,680
zand1248,Zande,8,638
zulu1248,Zulu,3,537
zuni1245,Zuni,3,2210
