,language,continuant,elevation
nort2819,Northern Bobo Madaré,20,467
nort2828,North Moluccan Malay,14,79
nort3047,North Giziga,14,488
ntch1242,Ntcham,36,243
ntom1248,Ntomba,13,292
nucl1440,Masalit,24,815
nucl1460,Madurese,15,108
nucl1683,Daba,18,813
nucl1696,Tangale,33,565
nuer1246,Nuer,35,409
nugu1242,Nugunu (Cameroon),13,481
nyam1277,Nyambo,17,1513
nyam1285,Nyam,23,244
nyol1238,Nyole,18,1066
nzim1238,Nzima,22,19
olub1238,Olu'bo,19,721
opuu1239,T'apo,12,419
orma1241,Orma,17,141
otor1240,Otoro,24,752
otuh1238,Otuho,39,809
palo1243,Palor,24,100
pamp1243,Pampanga,10,29
pang1287,Pangwa,20,1313
pang1290,Pangasinan,9,15
pero1241,Pero,14,319
piny1238,Pinyin,31,1841
poko1263,Pökoot,25,1866
prin1242,Principense,17,469
reel1238,Reel,44,431
reun1238,Réunion Creole French,26,1722
rong1268,Ronga,25,69
saam1283,Saamia,19,1194
sand1273,Sandawe,24,1208
saot1239,Sãotomense,21,1073
saxw1241,Saxwe Gbe,23,76
saya1246,Saya,24,596
seba1251,Sebat Bet Gurage,67,2272
sekp1241,Sekpele,15,301
sele1249,Selee,16,364
shan1282,Shanga,21,156
sher1258,Sherbro,16,13
shil1265,Shilluk,36,399
shwa1239,Shwai,21,721
siam1242,Siamou,23,542
silt1240,Silt'e,29,2047
siwi1239,Siwi,27,-7
siwu1238,Siwu,21,234
soni1259,Soninke,23,157
sooo1256,Soo,15,1901
sout2790,Southern Birifor,37,218
sout2795,Southern Nuni,33,327
sout2828,Southern Ma'di,22,659
sout2833,South Central Dinka,44,432
sout2918,Southern Sama,11,21
suba1252,Suba-Simbiti,26,1294
suga1248,Nizaa,42,1263
suku1261,Sukuma,24,1166
sumb1240,Sumbwa,20,1204
tach1250,Tachelhit,24,904
tada1238,Tadaksahak,42,313
taga1270,Tagalog,12,93
teee1242,Tee,21,25
teng1272,Tengger,27,1226
tese1238,Tese,25,618
tetu1245,Tetum,11,317
tiag1235,Tiagbamrin Aizi,17,17
tiey1235,Tiéyaxo Bozo,22,275
tigo1236,Tigon Mbembe,32,255
