,language,periodicGlottalSource,elevation
tumt1243,Tumtum,47,487
tune1261,Tunen,19,708
tuni1251,Tunia,31,364
tupu1244,Tupuri,44,353
uduk1239,Uduk,17,862
umbu1257,Umbundu,22,1239
uppe1455,Upper Guinea Crioulo,21,44
vame1236,Vame,32,412
wand1278,Wandala,36,339
wawa1246,Wawa,37,1214
wehh1238,Weh,34,1065
west2456,Western Xwla Gbe,34,5
west2458,West Central Banda,31,637
wola1242,Wolaytta,19,1324
wong1247,Wongo,17,483
wuzl1236,Wuzlam,29,535
xamt1239,Xamtanga,14,2165
xhos1239,Xhosa,36,1748
xwel1235,Xwela Gbe,34,32
yala1263,Yala,25,65
yans1239,Yansi,34,355
yaoo1241,Yao,19,1194
yemb1246,Yemba,17,1324
yems1235,Yemsa,23,2227
zagh1240,Beria,21,978
zayy1238,Zay,27,1636
zinz1238,Zinza,22,1338
