,language,high,elevation
ngaz1238,Ngazidja Comorian,9,475
ngie1241,Ngiemboon,9,1797
ngit1239,Ngiti,16,1617
ngom1272,Ngomba,8,1454
ngwe1238,Ngwe,11,992
nias1242,Nias,7,0
niel1243,Niellim,18,358
nige1253,Hausa States Fulfulde,30,363
njeb1242,Njebi,8,728
njye1238,Njyem,15,595
nkon1248,Nkonya,12,95
nort2795,Zimbabwean Ndebele,26,1179
nort2819,Northern Bobo Madaré,15,467
nort2828,North Moluccan Malay,11,79
nort3047,North Giziga,8,488
ntch1242,Ntcham,29,243
ntom1248,Ntomba,9,292
nucl1440,Masalit,14,815
nucl1460,Madurese,13,108
nucl1683,Daba,15,813
nucl1696,Tangale,17,565
nuer1246,Nuer,16,409
nugu1242,Nugunu (Cameroon),10,481
nyam1277,Nyambo,10,1513
nyam1285,Nyam,20,244
nyol1238,Nyole,12,1066
nzim1238,Nzima,21,19
olub1238,Olu'bo,15,721
opuu1239,T'apo,7,419
orma1241,Orma,10,141
otor1240,Otoro,13,752
otuh1238,Otuho,19,809
palo1243,Palor,14,100
pamp1243,Pampanga,6,29
pang1287,Pangwa,11,1313
pang1290,Pangasinan,7,15
pero1241,Pero,11,319
piny1238,Pinyin,27,1841
poko1263,Pökoot,12,1866
prin1242,Principense,10,469
reel1238,Reel,21,431
reun1238,Réunion Creole French,11,1722
rong1268,Ronga,16,69
saam1283,Saamia,11,1194
sand1273,Sandawe,28,1208
saot1239,Sãotomense,11,1073
saxw1241,Saxwe Gbe,13,76
saya1246,Saya,14,596
seba1251,Sebat Bet Gurage,47,2272
sekp1241,Sekpele,11,301
sele1249,Selee,12,364
shan1282,Shanga,12,156
sher1258,Sherbro,10,13
shil1265,Shilluk,18,399
shwa1239,Shwai,13,721
siam1242,Siamou,14,542
silt1240,Silt'e,16,2047
siwi1239,Siwi,10,-7
siwu1238,Siwu,11,234
soni1259,Soninke,18,157
sooo1256,Soo,11,1901
sout2790,Southern Birifor,22,218
sout2795,Southern Nuni,24,327
sout2828,Southern Ma'di,20,659
sout2833,South Central Dinka,18,432
sout2918,Southern Sama,9,21
suba1252,Suba-Simbiti,13,1294
suga1248,Nizaa,25,1263
suku1261,Sukuma,18,1166
sumb1240,Sumbwa,8,1204
tach1250,Tachelhit,12,904
tada1238,Tadaksahak,17,313
taga1270,Tagalog,9,93
teee1242,Tee,16,25
teng1272,Tengger,14,1226
tese1238,Tese,16,618
tetu1245,Tetum,4,317
tiag1235,Tiagbamrin Aizi,13,17
tiey1235,Tiéyaxo Bozo,12,275
