Glottocode,language,tense,elevation
siam1242,Siamou,9,542
silt1240,Silt'e,12,2047
siwi1239,Siwi,6,-7
siwu1238,Siwu,10,234
soni1259,Soninke,14,157
sooo1256,Soo,6,1901
sout2790,Southern Birifor,16,218
sout2795,Southern Nuni,10,327
sout2828,Southern Ma'di,6,659
sout2833,South Central Dinka,23,432
sout2918,Southern Sama,6,21
suba1252,Suba-Simbiti,10,1294
suga1248,Nizaa,17,1263
suku1261,Sukuma,10,1166
sumb1240,Sumbwa,10,1204
tach1250,Tachelhit,4,904
tada1238,Tadaksahak,12,313
taga1270,Tagalog,6,93
teee1242,Tee,12,25
teng1272,Tengger,10,1226
tese1238,Tese,8,618
tetu1245,Tetum,5,317
tiag1235,Tiagbamrin Aizi,5,17
tiey1235,Tiéyaxo Bozo,10,275
tigo1236,Tigon Mbembe,8,255
tigr1271,Tigrinya,7,2332
tira1254,Tira,12,638
tivv1240,Tiv,6,208
toch1257,Tocho,6,661
tong1318,Tonga (Zambia),6,944
tour1242,Toura (Côte d'Ivoire),8,546
tsam1247,Tsamai,12,741
tsot1241,Tsotso,8,1459
tsuv1239,Tsuvadi,18,257
tuki1240,Tuki,7,581
tuli1249,Tulishi,11,623
tumt1243,Tumtum,10,487
tune1261,Tunen,5,708
tuni1251,Tunia,8,364
tupu1244,Tupuri,17,353
uduk1239,Uduk,6,862
umbu1257,Umbundu,12,1239
uppe1455,Upper Guinea Crioulo,6,44
vame1236,Vame,5,412
wand1278,Wandala,5,339
wawa1246,Wawa,10,1214
wehh1238,Weh,7,1065
west2456,Western Xwla Gbe,11,5
west2458,West Central Banda,9,637
wola1242,Wolaytta,8,1324
wong1247,Wongo,7,483
wuzl1236,Wuzlam,5,535
xamt1239,Xamtanga,6,2165
xhos1239,Xhosa,6,1748
xwel1235,Xwela Gbe,11,32
yala1263,Yala,7,65
yans1239,Yansi,14,355
yaoo1241,Yao,6,1194
yemb1246,Yemba,6,1324
yems1235,Yemsa,10,2227
zagh1240,Beria,6,978
zayy1238,Zay,12,1636
zinz1238,Zinza,10,1338
