,language,anterior,elevation
nort2828,North Moluccan Malay,6,79
nort3047,North Giziga,12,488
ntch1242,Ntcham,10,243
ntom1248,Ntomba,8,292
nucl1440,Masalit,11,815
nucl1460,Madurese,7,108
nucl1683,Daba,11,813
nucl1696,Tangale,16,565
nuer1246,Nuer,7,409
nugu1242,Nugunu (Cameroon),7,481
nyam1277,Nyambo,6,1513
nyam1285,Nyam,10,244
nyol1238,Nyole,7,1066
nzim1238,Nzima,5,19
olub1238,Olu'bo,9,721
opuu1239,T'apo,7,419
orma1241,Orma,9,141
otor1240,Otoro,13,752
otuh1238,Otuho,11,809
palo1243,Palor,8,100
pamp1243,Pampanga,6,29
pang1287,Pangwa,7,1313
pang1290,Pangasinan,5,15
pero1241,Pero,6,319
piny1238,Pinyin,15,1841
poko1263,Pökoot,6,1866
prin1242,Principense,7,469
reel1238,Reel,8,431
reun1238,Réunion Creole French,13,1722
rong1268,Ronga,24,69
saam1283,Saamia,6,1194
sand1273,Sandawe,27,1208
saot1239,Sãotomense,5,1073
saxw1241,Saxwe Gbe,4,76
saya1246,Saya,15,596
seba1251,Sebat Bet Gurage,25,2272
sekp1241,Sekpele,5,301
sele1249,Selee,3,364
shan1282,Shanga,7,156
sher1258,Sherbro,7,13
shil1265,Shilluk,9,399
shwa1239,Shwai,8,721
siam1242,Siamou,6,542
silt1240,Silt'e,16,2047
siwi1239,Siwi,9,-7
siwu1238,Siwu,5,234
soni1259,Soninke,9,157
sooo1256,Soo,6,1901
sout2790,Southern Birifor,6,218
sout2795,Southern Nuni,11,327
sout2828,Southern Ma'di,16,659
sout2833,South Central Dinka,7,432
sout2918,Southern Sama,5,21
suba1252,Suba-Simbiti,7,1294
suga1248,Nizaa,20,1263
suku1261,Sukuma,11,1166
sumb1240,Sumbwa,6,1204
tach1250,Tachelhit,13,904
tada1238,Tadaksahak,27,313
taga1270,Tagalog,6,93
teee1242,Tee,8,25
teng1272,Tengger,5,1226
tese1238,Tese,10,618
tetu1245,Tetum,6,317
tiag1235,Tiagbamrin Aizi,6,17
tiey1235,Tiéyaxo Bozo,6,275
tigo1236,Tigon Mbembe,43,255
tigr1271,Tigrinya,9,2332
tira1254,Tira,11,638
tivv1240,Tiv,9,208
toch1257,Tocho,6,661
tong1318,Tonga (Zambia),9,944
tour1242,Toura (Côte d'Ivoire),6,546
tsam1247,Tsamai,17,741
tsot1241,Tsotso,7,1459
tsuv1239,Tsuvadi,10,257
tuki1240,Tuki,6,581
tuli1249,Tulishi,12,623
tumt1243,Tumtum,14,487
tune1261,Tunen,5,708
tuni1251,Tunia,8,364
tupu1244,Tupuri,9,353
uduk1239,Uduk,8,862
umbu1257,Umbundu,5,1239
uppe1455,Upper Guinea Crioulo,8,44
vame1236,Vame,14,412
wand1278,Wandala,16,339
wawa1246,Wawa,6,1214
wehh1238,Weh,11,1065
west2456,Western Xwla Gbe,8,5
west2458,West Central Banda,8,637
wola1242,Wolaytta,10,1324
wong1247,Wongo,6,483
wuzl1236,Wuzlam,14,535
xamt1239,Xamtanga,7,2165
xhos1239,Xhosa,36,1748
xwel1235,Xwela Gbe,8,32
yala1263,Yala,6,65
yans1239,Yansi,7,355
yaoo1241,Yao,5,1194
yemb1246,Yemba,6,1324
yems1235,Yemsa,8,2227
zagh1240,Beria,6,978
zayy1238,Zay,8,1636
zinz1238,Zinza,6,1338
