,language,distributed,elevation
shwa1239,Shwai,7,721
siam1242,Siamou,4,542
silt1240,Silt'e,12,2047
siwi1239,Siwi,3,-7
siwu1238,Siwu,3,234
soni1259,Soninke,3,157
sooo1256,Soo,3,1901
sout2790,Southern Birifor,3,218
sout2795,Southern Nuni,7,327
sout2828,Southern Ma'di,6,659
sout2833,South Central Dinka,5,432
sout2918,Southern Sama,2,21
suba1252,Suba-Simbiti,4,1294
suga1248,Nizaa,10,1263
suku1261,Sukuma,8,1166
sumb1240,Sumbwa,3,1204
tach1250,Tachelhit,9,904
tada1238,Tadaksahak,8,313
taga1270,Tagalog,2,93
teee1242,Tee,2,25
teng1272,Tengger,3,1226
tese1238,Tese,2,618
tiag1235,Tiagbamrin Aizi,5,17
tiey1235,Tiéyaxo Bozo,2,275
tigo1236,Tigon Mbembe,13,255
tigr1271,Tigrinya,6,2332
tira1254,Tira,7,638
tivv1240,Tiv,5,208
toch1257,Tocho,3,661
tong1318,Tonga (Zambia),7,944
tsam1247,Tsamai,9,741
tsot1241,Tsotso,4,1459
tsuv1239,Tsuvadi,4,257
tuki1240,Tuki,4,581
tuli1249,Tulishi,8,623
tumt1243,Tumtum,8,487
tune1261,Tunen,2,708
tuni1251,Tunia,5,364
tupu1244,Tupuri,3,353
uduk1239,Uduk,3,862
umbu1257,Umbundu,2,1239
uppe1455,Upper Guinea Crioulo,5,44
vame1236,Vame,5,412
wand1278,Wandala,6,339
wawa1246,Wawa,4,1214
wehh1238,Weh,7,1065
west2456,Western Xwla Gbe,3,5
west2458,West Central Banda,6,637
wola1242,Wolaytta,8,1324
wong1247,Wongo,1,483
xamt1239,Xamtanga,3,2165
xhos1239,Xhosa,19,1748
xwel1235,Xwela Gbe,3,32
yala1263,Yala,4,65
yaoo1241,Yao,3,1194
yems1235,Yemsa,5,2227
zagh1240,Beria,4,978
zayy1238,Zay,5,1636
zinz1238,Zinza,4,1338
0,Dibole,0,321
1,Bana,0,851
2,Busa,0,243
3,Mada (Nigeria),0,470
4,Yansi,0,355
5,Afar,0,323
6,Kamwe,0,576
7,Afrikaans,0,581
9,Buwal,0,600
10,Hdi,0,588
11,Mbuko,0,480
12,Moloko,0,454
13,Muyang,0,410
14,Ngomba,0,1454
15,Bomitaba,0,316
16,Loma (Liberia),0,474
17,Kituba (Democratic Republic of Congo),0,342
18,Gude,0,874
19,Merey,0,787
20,Ngiemboon,0,1797
21,Wuzlam,0,535
22,Toura (Côte d'Ivoire),0,546
23,Yemba,0,1324
24,Iloko,0,287
25,Mori Bawah,0,541
26,Tetum,0,317
27,Leti (Indonesia),0,252
28,Biak,0,187
