Glottocode,language,consonantal,elevation
tuni1251,Tunia,21,364
tupu1244,Tupuri,25,353
uduk1239,Uduk,20,862
umbu1257,Umbundu,14,1239
uppe1455,Upper Guinea Crioulo,21,44
vame1236,Vame,34,412
wand1278,Wandala,41,339
wawa1246,Wawa,27,1214
wehh1238,Weh,34,1065
west2456,Western Xwla Gbe,24,5
west2458,West Central Banda,28,637
wola1242,Wolaytta,35,1324
wong1247,Wongo,12,483
wuzl1236,Wuzlam,31,535
xamt1239,Xamtanga,21,2165
xhos1239,Xhosa,71,1748
xwel1235,Xwela Gbe,24,32
yala1263,Yala,25,65
yans1239,Yansi,15,355
yaoo1241,Yao,16,1194
yemb1246,Yemba,15,1324
yems1235,Yemsa,22,2227
zagh1240,Beria,18,978
zayy1238,Zay,20,1636
zinz1238,Zinza,17,1338
