Glottocode,language,nasal,elevation
saam1283,Saamia,4,1194
sand1273,Sandawe,7,1208
saot1239,Sãotomense,9,1073
saxw1241,Saxwe Gbe,8,76
saya1246,Saya,7,596
seba1251,Sebat Bet Gurage,13,2272
sekp1241,Sekpele,9,301
sele1249,Selee,12,364
shan1282,Shanga,9,156
sher1258,Sherbro,4,13
shil1265,Shilluk,5,399
shwa1239,Shwai,4,721
siam1242,Siamou,8,542
silt1240,Silt'e,6,2047
siwi1239,Siwi,3,-7
siwu1238,Siwu,10,234
soni1259,Soninke,13,157
sooo1256,Soo,4,1901
sout2790,Southern Birifor,13,218
sout2795,Southern Nuni,14,327
sout2828,Southern Ma'di,5,659
sout2833,South Central Dinka,5,432
sout2918,Southern Sama,4,21
suba1252,Suba-Simbiti,4,1294
suga1248,Nizaa,16,1263
suku1261,Sukuma,8,1166
sumb1240,Sumbwa,2,1204
tach1250,Tachelhit,2,904
tada1238,Tadaksahak,8,313
taga1270,Tagalog,3,93
teee1242,Tee,9,25
teng1272,Tengger,4,1226
tese1238,Tese,7,618
tetu1245,Tetum,2,317
tiag1235,Tiagbamrin Aizi,4,17
tiey1235,Tiéyaxo Bozo,11,275
tigo1236,Tigon Mbembe,8,255
tigr1271,Tigrinya,3,2332
tira1254,Tira,4,638
tivv1240,Tiv,4,208
toch1257,Tocho,5,661
tong1318,Tonga (Zambia),4,944
tour1242,Toura (Côte d'Ivoire),8,546
tsam1247,Tsamai,6,741
tsot1241,Tsotso,4,1459
tsuv1239,Tsuvadi,17,257
tuki1240,Tuki,4,581
tuli1249,Tulishi,7,623
tumt1243,Tumtum,8,487
tune1261,Tunen,4,708
tuni1251,Tunia,9,364
tupu1244,Tupuri,14,353
uduk1239,Uduk,2,862
umbu1257,Umbundu,14,1239
uppe1455,Upper Guinea Crioulo,4,44
vame1236,Vame,4,412
wand1278,Wandala,5,339
wawa1246,Wawa,5,1214
wehh1238,Weh,4,1065
west2456,Western Xwla Gbe,12,5
west2458,West Central Banda,3,637
wola1242,Wolaytta,1,1324
wong1247,Wongo,4,483
wuzl1236,Wuzlam,3,535
xhos1239,Xhosa,7,1748
xwel1235,Xwela Gbe,12,32
yala1263,Yala,5,65
yans1239,Yansi,3,355
yaoo1241,Yao,4,1194
yemb1246,Yemba,3,1324
yems1235,Yemsa,4,2227
zagh1240,Beria,4,978
zayy1238,Zay,3,1636
zinz1238,Zinza,3,1338
