,language,spreadGlottis,elevation
38,Pero,0,319
39,Kamwe,0,576
40,Manya,0,568
41,Saya,0,596
42,Njebi,0,728
43,Otoro,0,752
44,Tira,0,638
45,Koalib-Rere,0,732
46,Defaka,0,6
47,Holoholo,0,798
48,Buli (Ghana),0,204
49,Dan,0,324
50,Harari,0,1841
51,Buwal,0,600
52,Hdi,0,588
53,Lamang,0,1015
54,Lagwan,0,300
55,Muyang,0,410
56,Ngomba,0,1454
57,Weh,0,1065
58,Keiga,0,511
59,Krongo,0,453
60,Kanga,0,473
61,Katcha-Kadugli-Miri,0,473
62,Aringa,0,870
63,Tese,0,618
64,Lumun,0,728
65,Acheron,0,927
66,Tocho,0,661
67,Dagik,0,454
68,Didinga,0,1818
69,Luwo,0,496
70,Acoli,0,867
71,Belanda Bor,0,514
72,Belanda Viri,0,501
73,Ndogo,0,460
74,Bade,0,341
75,Jita,0,1286
76,Kamba (Kenya),0,971
77,Lango (Uganda),0,1052
78,Nyole,0,1066
79,Mwani,0,18
80,Principense,0,469
81,Dzùùngoo,0,376
82,Soo,0,1901
83,Kangaki-Kagbaaga-Kajoko Bidyogo,0,15
84,Shwai,0,721
85,Gaa,0,545
86,Kuanyama,0,1128
87,Ngandyera,0,1079
88,Konkomba,0,149
89,Bomitaba,0,316
90,Mann,0,244
91,Bankon,0,84
92,Tiagbamrin Aizi,0,17
93,Alladian,0,14
94,Legbo,0,29
95,Glavda,0,410
96,Angolar,0,104
97,Upper Guinea Crioulo,0,44
98,Kru Pidgin English,0,42
99,Gban,0,166
100,Eton-Mengisa,0,516
101,Réunion Creole French,0,1722
102,Sãotomense,0,1073
103,Morisyen,0,464
104,Kituba (Democratic Republic of Congo),0,342
105,Akaselem,0,319
106,Daba,0,813
107,Gavar,0,622
108,Gude,0,874
109,Lango (Sudan),0,776
110,Mmaala,0,484
111,Mbe',0,754
112,Njyem,0,595
113,Guro,0,276
114,Kabuverdianu,0,467
115,Gaam,0,898
116,Mundabli,0,730
117,Ajumbu,0,771
118,Koshin,0,812
119,Fang (Cameroon),0,749
121,Ngiemboon,0,1797
122,Pinyin,0,1841
123,Toura (Côte d'Ivoire),0,546
124,Meru,0,1254
125,Kwaya,0,1152
126,Ejagham,0,220
127,Yemba,0,1324
128,Fipa,0,1821
129,Tumtum,0,487
130,Kimaragang,0,258
131,Leti (Indonesia),0,252
132,East Makian,0,308
133,Biak,0,187
134,Ambonese Malay,0,176
135,Banda Malay,0,260
136,Manado Malay,0,41
137,Kupang Malay,0,369
138,Larantuka Malay,0,757
139,North Moluccan Malay,0,79
140,Coastal-Naga Bikol,0,182
141,Pangasinan,0,15
