,language,labial,elevation
moro1284,Morokodo,20,574
moru1253,Moru,11,651
mpad1242,Mpade,12,290
mund1325,Mundang,25,390
mund1328,Mundabli,12,730
muya1243,Muyang,16,410
mwal1237,Mwali Comorian,9,257
mwan1247,Mwani,8,18
myen1241,Myene,12,26
nari1240,Narim,11,578
nate1242,Nateni,15,454
nawu1242,Nawuri,18,120
ncan1245,Ncane,12,960
ndai1238,Ndai,22,636
ndal1241,Ndali,8,1134
ndam1239,Ndamba,8,280
ndog1248,Ndogo,14,460
ndon1254,Ndonga,32,1095
ndzw1235,Ndzwani Comorian,9,547
ngan1300,Ngandyera,8,1079
ngas1238,Ngasa,9,1807
ngaz1238,Ngazidja Comorian,12,475
ngie1241,Ngiemboon,11,1797
ngit1239,Ngiti,18,1617
ngom1272,Ngomba,8,1454
ngwe1238,Ngwe,15,992
nias1242,Nias,8,0
niel1243,Niellim,14,358
nige1253,Hausa States Fulfulde,27,363
njeb1242,Njebi,11,728
njye1238,Njyem,18,595
nkon1248,Nkonya,13,95
nort2795,Zimbabwean Ndebele,14,1179
nort2819,Northern Bobo Madaré,13,467
nort2828,North Moluccan Malay,7,79
nort3047,North Giziga,9,488
ntch1242,Ntcham,27,243
ntom1248,Ntomba,10,292
nucl1440,Masalit,11,815
nucl1460,Madurese,8,108
nucl1683,Daba,16,813
nucl1696,Tangale,27,565
nuer1246,Nuer,17,409
nugu1242,Nugunu (Cameroon),10,481
nyam1277,Nyambo,10,1513
nyam1285,Nyam,19,244
nyol1238,Nyole,11,1066
nzim1238,Nzima,16,19
olub1238,Olu'bo,15,721
opuu1239,T'apo,6,419
orma1241,Orma,10,141
otor1240,Otoro,13,752
otuh1238,Otuho,17,809
palo1243,Palor,14,100
pamp1243,Pampanga,6,29
pang1287,Pangwa,10,1313
pang1290,Pangasinan,6,15
pero1241,Pero,9,319
piny1238,Pinyin,28,1841
poko1263,Pökoot,11,1866
prin1242,Principense,11,469
reel1238,Reel,20,431
reun1238,Réunion Creole French,14,1722
rong1268,Ronga,35,69
saam1283,Saamia,9,1194
sand1273,Sandawe,12,1208
saot1239,Sãotomense,10,1073
saxw1241,Saxwe Gbe,14,76
saya1246,Saya,13,596
seba1251,Sebat Bet Gurage,49,2272
sekp1241,Sekpele,11,301
sele1249,Selee,13,364
shan1282,Shanga,13,156
sher1258,Sherbro,9,13
shil1265,Shilluk,16,399
shwa1239,Shwai,10,721
siam1242,Siamou,13,542
silt1240,Silt'e,12,2047
siwi1239,Siwi,9,-7
siwu1238,Siwu,13,234
soni1259,Soninke,11,157
sooo1256,Soo,8,1901
sout2790,Southern Birifor,22,218
sout2795,Southern Nuni,30,327
sout2828,Southern Ma'di,26,659
sout2833,South Central Dinka,20,432
sout2918,Southern Sama,6,21
