,language,dorsal,elevation
piny1238,Pinyin,39,1841
poko1263,Pökoot,26,1866
prin1242,Principense,15,469
reel1238,Reel,49,431
reun1238,Réunion Creole French,19,1722
rong1268,Ronga,18,69
saam1283,Saamia,17,1194
sand1273,Sandawe,22,1208
saot1239,Sãotomense,19,1073
saxw1241,Saxwe Gbe,21,76
saya1246,Saya,22,596
seba1251,Sebat Bet Gurage,61,2272
sekp1241,Sekpele,17,301
sele1249,Selee,19,364
shan1282,Shanga,20,156
sher1258,Sherbro,13,13
shil1265,Shilluk,35,399
shwa1239,Shwai,19,721
siam1242,Siamou,22,542
silt1240,Silt'e,22,2047
siwi1239,Siwi,21,-7
siwu1238,Siwu,22,234
soni1259,Soninke,28,157
sooo1256,Soo,17,1901
sout2790,Southern Birifor,36,218
sout2795,Southern Nuni,33,327
sout2828,Southern Ma'di,23,659
sout2833,South Central Dinka,46,432
sout2918,Southern Sama,13,21
suba1252,Suba-Simbiti,23,1294
suga1248,Nizaa,40,1263
suku1261,Sukuma,28,1166
sumb1240,Sumbwa,14,1204
tach1250,Tachelhit,18,904
tada1238,Tadaksahak,28,313
taga1270,Tagalog,12,93
teee1242,Tee,24,25
teng1272,Tengger,28,1226
tese1238,Tese,26,618
tetu1245,Tetum,7,317
tiag1235,Tiagbamrin Aizi,18,17
tiey1235,Tiéyaxo Bozo,22,275
tigo1236,Tigon Mbembe,40,255
tigr1271,Tigrinya,18,2332
tira1254,Tira,24,638
tivv1240,Tiv,17,208
toch1257,Tocho,17,661
tong1318,Tonga (Zambia),13,944
tour1242,Toura (Côte d'Ivoire),23,546
tsam1247,Tsamai,33,741
tsot1241,Tsotso,15,1459
tsuv1239,Tsuvadi,31,257
tuki1240,Tuki,20,581
tuli1249,Tulishi,32,623
tumt1243,Tumtum,27,487
tune1261,Tunen,14,708
tuni1251,Tunia,23,364
tupu1244,Tupuri,30,353
uduk1239,Uduk,10,862
umbu1257,Umbundu,18,1239
uppe1455,Upper Guinea Crioulo,14,44
vame1236,Vame,17,412
wand1278,Wandala,21,339
wawa1246,Wawa,29,1214
wehh1238,Weh,19,1065
west2456,Western Xwla Gbe,27,5
west2458,West Central Banda,22,637
wola1242,Wolaytta,23,1324
wong1247,Wongo,13,483
wuzl1236,Wuzlam,17,535
xamt1239,Xamtanga,17,2165
xhos1239,Xhosa,26,1748
xwel1235,Xwela Gbe,27,32
yala1263,Yala,23,65
yans1239,Yansi,27,355
yaoo1241,Yao,13,1194
yemb1246,Yemba,12,1324
yems1235,Yemsa,17,2227
zagh1240,Beria,17,978
zayy1238,Zay,20,1636
zinz1238,Zinza,17,1338
