Glottocode,language,round,elevation
tuli1249,Tulishi,9,623
tumt1243,Tumtum,8,487
tune1261,Tunen,4,708
tuni1251,Tunia,6,364
tupu1244,Tupuri,11,353
uduk1239,Uduk,3,862
umbu1257,Umbundu,6,1239
uppe1455,Upper Guinea Crioulo,3,44
vame1236,Vame,8,412
wand1278,Wandala,7,339
wawa1246,Wawa,10,1214
wehh1238,Weh,4,1065
west2456,Western Xwla Gbe,11,5
west2458,West Central Banda,5,637
wola1242,Wolaytta,11,1324
wong1247,Wongo,4,483
wuzl1236,Wuzlam,7,535
xamt1239,Xamtanga,7,2165
xhos1239,Xhosa,4,1748
xwel1235,Xwela Gbe,11,32
yala1263,Yala,8,65
yans1239,Yansi,13,355
yaoo1241,Yao,4,1194
yemb1246,Yemba,4,1324
yems1235,Yemsa,5,2227
zagh1240,Beria,5,978
zayy1238,Zay,5,1636
zinz1238,Zinza,5,1338
