,language,back,elevation
kwan1276,Kwanja,7,1014
kway1241,Kwaya,5,1152
kwes1244,Kwese,3,795
kyen1242,Kyenga,6,203
lagw1237,Lagwan,5,300
lama1288,Lamang,2,1015
lang1322,Lango (Sudan),5,776
lang1324,Lango (Uganda),9,1052
lara1260,Larantuka Malay,3,757
lega1249,Lega-Shabunda,7,633
legb1242,Legbo,7,29
lele1266,Lele (Guinea),4,925
lele1276,Lele (Chad),5,399
leng1258,Lengola,3,468
lese1243,Lese,5,973
leti1246,Leti (Indonesia),5,252
libe1240,Kru Pidgin English,6,42
lika1243,Liko,5,763
limb1268,Limbum,20,1057
logb1245,Logba,4,157
logo1259,Logo,5,901
loma1260,Loma (Liberia),13,474
long1387,Longto,4,441
lumu1239,Lumun,7,728
luwo1239,Luwo,6,496
maay1238,Maay,5,496
maba1273,Mabaan,9,428
mach1266,Machame,5,1072
mada1282,Mada (Nigeria),7,470
maka1311,Makasar,3,0
mala1481,Manado Malay,3,41
mamb1296,Mambwe-Lungu,5,1249
mamp1244,Mampruli,5,152
mann1248,Mann,7,244
many1261,Manya,4,568
masa1299,Masaaba,5,1666
matu1259,Matumbi,3,257
mawa1270,Mawa (Chad),4,544
mayo1261,Mayogo,5,760
mbal1255,Mbalanhu,3,1310
mbay1241,Mbay,9,460
mbee1249,Mbe,4,124
mbee1250,Mbe',4,754
mboc1235,Mbo (Cameroon),11,835
mbuk1240,Mbukushu,4,1010
mbuk1243,Mbuko,3,480
mbuu1238,Ajumbu,4,771
meen1242,Me'en,7,1009
mere1246,Merey,3,787
meru1245,Meru,5,1254
mesq1240,Mesqan,4,2134
mfum1238,Southern Mfumte,5,662
mina1268,Minangkabau,3,10
mmaa1238,Mmaala,5,484
moch1256,Mochi,3,892
mofu1248,Mofu-Gudur,1,730
moke1242,Moken,7,0
mokl1243,Moklen,9,17
mokp1239,Mokpwe,4,2301
molo1266,Moloko,4,454
mong1338,Mongo,4,381
mono1269,Mono (Cameroon),12,233
mori1268,Mori Bawah,2,541
mori1278,Morisyen,5,464
moro1284,Morokodo,5,574
moru1253,Moru,5,651
mpad1242,Mpade,3,290
mund1325,Mundang,13,390
mund1328,Mundabli,6,730
muya1243,Muyang,5,410
mwal1237,Mwali Comorian,3,257
mwan1247,Mwani,3,18
myen1241,Myene,4,26
nari1240,Narim,5,578
nate1242,Nateni,11,454
nawu1242,Nawuri,5,120
ncan1245,Ncane,9,960
ndai1238,Ndai,11,636
ndal1241,Ndali,5,1134
ndam1239,Ndamba,3,280
ndog1248,Ndogo,3,460
ndon1254,Ndonga,12,1095
ndzw1235,Ndzwani Comorian,4,547
ngan1300,Ngandyera,3,1079
ngas1238,Ngasa,6,1807
ngaz1238,Ngazidja Comorian,3,475
ngie1241,Ngiemboon,5,1797
ngit1239,Ngiti,3,1617
ngom1272,Ngomba,5,1454
ngwe1238,Ngwe,6,992
nias1242,Nias,4,0
niel1243,Niellim,9,358
nige1253,Hausa States Fulfulde,11,363
njeb1242,Njebi,3,728
njye1238,Njyem,11,595
nkon1248,Nkonya,9,95
nort2795,Zimbabwean Ndebele,4,1179
nort2819,Northern Bobo Madaré,6,467
nort2828,North Moluccan Malay,3,79
nort3047,North Giziga,2,488
ntch1242,Ntcham,14,243
ntom1248,Ntomba,4,292
nucl1440,Masalit,5,815
nucl1460,Madurese,4,108
nucl1683,Daba,3,813
nucl1696,Tangale,9,565
nuer1246,Nuer,13,409
nugu1242,Nugunu (Cameroon),4,481
nyam1277,Nyambo,5,1513
nyam1285,Nyam,7,244
nyol1238,Nyole,5,1066
nzim1238,Nzima,7,19
olub1238,Olu'bo,5,721
opuu1239,T'apo,3,419
orma1241,Orma,5,141
otor1240,Otoro,5,752
otuh1238,Otuho,12,809
palo1243,Palor,8,100
pamp1243,Pampanga,3,29
pang1287,Pangwa,4,1313
pang1290,Pangasinan,3,15
pero1241,Pero,5,319
piny1238,Pinyin,5,1841
poko1263,Pökoot,8,1866
prin1242,Principense,4,469
reel1238,Reel,17,431
reun1238,Réunion Creole French,5,1722
rong1268,Ronga,4,69
saam1283,Saamia,5,1194
sand1273,Sandawe,7,1208
saot1239,Sãotomense,5,1073
saxw1241,Saxwe Gbe,6,76
saya1246,Saya,5,596
seba1251,Sebat Bet Gurage,14,2272
sekp1241,Sekpele,4,301
sele1249,Selee,6,364
shan1282,Shanga,6,156
sher1258,Sherbro,3,13
shil1265,Shilluk,11,399
shwa1239,Shwai,5,721
siam1242,Siamou,6,542
silt1240,Silt'e,6,2047
siwi1239,Siwi,10,-7
siwu1238,Siwu,8,234
soni1259,Soninke,7,157
sooo1256,Soo,6,1901
sout2790,Southern Birifor,14,218
sout2795,Southern Nuni,7,327
sout2828,Southern Ma'di,5,659
sout2833,South Central Dinka,16,432
sout2918,Southern Sama,3,21
suba1252,Suba-Simbiti,7,1294
