Glottocode,language,front,elevation
ntom1248,Ntomba,5,292
nucl1440,Masalit,6,815
nucl1460,Madurese,7,108
nucl1683,Daba,3,813
nucl1696,Tangale,10,565
nuer1246,Nuer,16,409
nugu1242,Nugunu (Cameroon),5,481
nyam1277,Nyambo,6,1513
nyam1285,Nyam,10,244
nyol1238,Nyole,6,1066
nzim1238,Nzima,13,19
olub1238,Olu'bo,7,721
opuu1239,T'apo,3,419
orma1241,Orma,6,141
otor1240,Otoro,8,752
otuh1238,Otuho,12,809
palo1243,Palor,8,100
pamp1243,Pampanga,2,29
pang1287,Pangwa,7,1313
pang1290,Pangasinan,3,15
pero1241,Pero,7,319
piny1238,Pinyin,18,1841
poko1263,Pökoot,10,1866
prin1242,Principense,6,469
reel1238,Reel,23,431
reun1238,Réunion Creole French,6,1722
rong1268,Ronga,5,69
saam1283,Saamia,6,1194
sand1273,Sandawe,7,1208
saot1239,Sãotomense,9,1073
saxw1241,Saxwe Gbe,7,76
saya1246,Saya,7,596
seba1251,Sebat Bet Gurage,23,2272
sekp1241,Sekpele,7,301
sele1249,Selee,7,364
shan1282,Shanga,7,156
sher1258,Sherbro,5,13
shil1265,Shilluk,15,399
shwa1239,Shwai,8,721
siam1242,Siamou,10,542
silt1240,Silt'e,8,2047
siwi1239,Siwi,7,-7
siwu1238,Siwu,8,234
soni1259,Soninke,11,157
sooo1256,Soo,7,1901
sout2790,Southern Birifor,15,218
sout2795,Southern Nuni,15,327
sout2828,Southern Ma'di,7,659
sout2833,South Central Dinka,20,432
sout2918,Southern Sama,5,21
suba1252,Suba-Simbiti,10,1294
suga1248,Nizaa,11,1263
suku1261,Sukuma,13,1166
sumb1240,Sumbwa,5,1204
tach1250,Tachelhit,2,904
tada1238,Tadaksahak,6,313
taga1270,Tagalog,5,93
teee1242,Tee,8,25
teng1272,Tengger,10,1226
tese1238,Tese,10,618
tetu1245,Tetum,2,317
tiag1235,Tiagbamrin Aizi,8,17
tiey1235,Tiéyaxo Bozo,9,275
tigo1236,Tigon Mbembe,16,255
tigr1271,Tigrinya,5,2332
tira1254,Tira,9,638
tivv1240,Tiv,4,208
toch1257,Tocho,7,661
tong1318,Tonga (Zambia),4,944
tour1242,Toura (Côte d'Ivoire),7,546
tsam1247,Tsamai,11,741
tsot1241,Tsotso,6,1459
tsuv1239,Tsuvadi,11,257
tuki1240,Tuki,4,581
tuli1249,Tulishi,16,623
tumt1243,Tumtum,12,487
tune1261,Tunen,4,708
tuni1251,Tunia,11,364
tupu1244,Tupuri,11,353
uduk1239,Uduk,3,862
umbu1257,Umbundu,8,1239
uppe1455,Upper Guinea Crioulo,7,44
vame1236,Vame,3,412
wand1278,Wandala,8,339
wawa1246,Wawa,8,1214
wehh1238,Weh,4,1065
west2456,Western Xwla Gbe,9,5
west2458,West Central Banda,7,637
wola1242,Wolaytta,10,1324
wong1247,Wongo,5,483
wuzl1236,Wuzlam,3,535
xamt1239,Xamtanga,2,2165
xhos1239,Xhosa,11,1748
xwel1235,Xwela Gbe,9,32
yala1263,Yala,8,65
yans1239,Yansi,15,355
yaoo1241,Yao,5,1194
yemb1246,Yemba,4,1324
yems1235,Yemsa,6,2227
zagh1240,Beria,8,978
zayy1238,Zay,6,1636
zinz1238,Zinza,8,1338
