,language,nasal,elevation
poli1260,Polish,4,126
pwon1235,Pwo Northern Karen,5,1113
qima1242,Qimant,4,1205
quec1382,Quechan,4,36
rama1270,Rama,4,29
rund1242,Rundi,3,1271
saba1268,Sabanê,2,312
saki1248,Mekens,14,156
sala1272,Salasaca Highland Quichua,3,2483
samb1305,Samba Leko,4,912
samo1303,Samo,1,138
samr1245,Samre of Siem Reap,4,32
sanj1284,San Juan Guelavía Zapotec,6,1612
sanm1287,San Mateo del Mar Huave,2,5
sanu1240,Sanumá,8,121
sasa1249,Sasak,4,297
sata1237,Satawalese,8,0
sava1244,Savara,4,260
sayu1241,Sayula Popoluca,2,70
seco1241,Secoya,1,211
seim1238,Seimat,8,0
sela1259,Selaru,2,39
seme1247,Semelai,18,67
sera1259,Saraiki,17,121
seri1257,Seri,2,188
serr1255,Serrano,6,731
shab1252,Shabo,4,1683
shaw1249,Shawnee,2,313
shon1251,Shona,4,1216
siar1238,Siar-Lak,3,556
sida1246,Sidamo,3,1781
siks1238,Siksika,2,1232
sind1272,Sindhi,5,20
sipa1247,Sipacapense,2,2186
siss1243,Sissano,4,15
slov1268,Slovenian,2,1195
soch1239,Sochiapam Chinantec,10,682
sout2750,Southern Yukaghir,4,0
sout2840,Southern Bobo Madaré,9,321
sout2844,Southern Samo,3,276
sout2856,South Efate,4,236
sout2895,South Nuaulu,2,120
spok1245,Spokane,4,726
stan1289,Catalan,4,619
subi1246,Subiya,8,933
suri1267,Tirma-Chai,4,1104
surs1246,Sursurunga,3,813
swed1254,Swedish,3,27
tagw1240,Tagwana Senoufo,15,311
tami1289,Tamil,4,106
tana1290,Tanacross,7,0
taro1264,Seediq,4,1174
tata1257,Tatana,4,13
tern1247,Ternate,4,1633
texi1237,Texistepec Popoluca,4,25
thul1246,Thulung,3,2514
tibe1272,Tibetan,3,5409
tilq1235,Tilquiapan Zapotec,2,1769
tinp1237,Tinputz,2,181
tiwi1244,Tiwi,4,74
tlac1235,Tlachichilco Tepehua,2,323
toba1269,Toba,3,139
tokp1240,Tok Pisin,6,197
tolo1259,Tolowa-Chetco,2,81
tong1325,Tonga (Tonga Islands),3,16
torw1241,Torwali,9,4139
tote1238,Totela,8,1063
tsha1245,Tshangla,4,1920
tsuv1239,Tsuvadi,9,257
tuka1248,Tukang Besi North,3,137
tuvi1240,Tuvinian,3,613
tzot1259,Tzotzil,2,997
tzut1248,Tz'utujil,2,2101
ukra1253,Ukrainian,2,1349
ulwa1239,Ulwa,6,9
urii1240,Uri,3,1275
usar1243,Usarufa,6,1982
utes1238,Ute-Southern Paiute,2,1842
vaii1241,Vai,8,17
wamb1259,Wambon,2,79
wari1268,Wari',4,153
wash1253,Washo,5,1925
waya1269,Wayana,2,182
west2441,Western Arrarnta,6,621
west2560,West Coast Bajau,4,12
woge1237,Wogeo,4,239
yalu1240,Yalunka,4,490
yape1248,Yapese,6,37
yawa1260,Yawanawa,2,261
