,language,dorsal,elevation
tagw1240,Tagwana Senoufo,32,311
tami1289,Tamil,16,106
tana1290,Tanacross,21,0
taro1264,Seediq,24,1174
tata1257,Tatana,10,13
tatu1247,Tatuyo,10,219
tern1247,Ternate,11,1633
texi1237,Texistepec Popoluca,15,25
thul1246,Thulung,15,2514
tibe1272,Tibetan,14,5409
tilq1235,Tilquiapan Zapotec,12,1769
tinp1237,Tinputz,17,181
tiwi1244,Tiwi,9,74
tlac1235,Tlachichilco Tepehua,16,323
toba1269,Toba,14,139
tokp1240,Tok Pisin,16,197
tolo1259,Tolowa-Chetco,12,81
tong1325,Tonga (Tonga Islands),7,16
torw1241,Torwali,23,4139
tote1238,Totela,27,1063
tsha1245,Tshangla,14,1920
tsuv1239,Tsuvadi,27,257
tuka1248,Tukang Besi North,10,137
tuvi1240,Tuvinian,21,613
tzot1259,Tzotzil,9,997
tzut1248,Tz'utujil,18,2101
ukra1253,Ukrainian,11,1349
ulwa1239,Ulwa,14,9
urii1240,Uri,15,1275
usar1243,Usarufa,10,1982
utes1238,Ute-Southern Paiute,28,1842
vaii1241,Vai,24,17
wamb1259,Wambon,15,79
wari1268,Wari',9,153
wash1253,Washo,15,1925
waya1269,Wayana,10,182
west2441,Western Arrarnta,8,621
west2560,West Coast Bajau,12,12
woge1237,Wogeo,10,239
yalu1240,Yalunka,22,490
yape1248,Yapese,24,37
yawa1260,Yawanawa,7,261
yekh1238,Yekhee,17,296
yeyi1239,Yeyi,41,948
yill1241,Yil,16,818
yine1238,Yine,15,355
yuch1247,Yuchi,19,247
yuki1243,Yuki,15,681
yura1255,Yuracaré,12,209
yuro1248,Yurok,20,756
zaiw1241,Zaiwa,13,1978
zoog1238,Zoogocho Zapotec,40,2507
