Glottocode,language,labial,elevation
pana1305,Panamint,13,1040
paok1235,Pa'o Karen,9,955
pate1247,Patep,20,1111
peta1245,Petats,10,122
phai1238,Prai,10,677
phal1254,Phalura,9,2948
pila1245,Pilagá,4,119
poli1260,Polish,8,126
pwon1235,Pwo Northern Karen,12,1113
qima1242,Qimant,12,1205
quec1382,Quechan,11,36
rama1270,Rama,9,29
rund1242,Rundi,9,1271
saba1268,Sabanê,6,312
saki1248,Mekens,10,156
sala1272,Salasaca Highland Quichua,7,2483
samb1305,Samba Leko,11,912
samo1303,Samo,7,138
samr1245,Samre of Siem Reap,11,32
sanj1284,San Juan Guelavía Zapotec,12,1612
sanm1287,San Mateo del Mar Huave,6,5
sanu1240,Sanumá,7,121
sasa1249,Sasak,6,297
sata1237,Satawalese,17,0
sava1244,Savara,8,260
sayu1241,Sayula Popoluca,9,70
seco1241,Secoya,6,211
seim1238,Seimat,8,0
sela1259,Selaru,6,39
seme1247,Semelai,15,67
sera1259,Saraiki,16,121
seri1257,Seri,8,188
serr1255,Serrano,14,731
shab1252,Shabo,12,1683
shaw1249,Shawnee,4,313
shon1251,Shona,13,1216
siar1238,Siar-Lak,8,556
sida1246,Sidamo,9,1781
siks1238,Siksika,9,1232
sind1272,Sindhi,11,20
sipa1247,Sipacapense,8,2186
siss1243,Sissano,11,15
slov1268,Slovenian,11,1195
soch1239,Sochiapam Chinantec,10,682
sout2750,Southern Yukaghir,9,0
sout2840,Southern Bobo Madaré,15,321
sout2844,Southern Samo,8,276
sout2856,South Efate,7,236
sout2895,South Nuaulu,5,120
spok1245,Spokane,16,726
stan1289,Catalan,9,619
subi1246,Subiya,30,933
suri1267,Tirma-Chai,7,1104
surs1246,Sursurunga,7,813
swed1254,Swedish,15,27
tagw1240,Tagwana Senoufo,18,311
tami1289,Tamil,8,106
tana1290,Tanacross,5,0
taro1264,Seediq,6,1174
tata1257,Tatana,6,13
tatu1247,Tatuyo,6,219
tern1247,Ternate,7,1633
texi1237,Texistepec Popoluca,7,25
thul1246,Thulung,10,2514
tibe1272,Tibetan,8,5409
tilq1235,Tilquiapan Zapotec,8,1769
tinp1237,Tinputz,10,181
tiwi1244,Tiwi,5,74
tlac1235,Tlachichilco Tepehua,8,323
toba1269,Toba,6,139
tokp1240,Tok Pisin,8,197
tolo1259,Tolowa-Chetco,6,81
tong1325,Tonga (Tonga Islands),6,16
torw1241,Torwali,10,4139
tote1238,Totela,30,1063
tsha1245,Tshangla,7,1920
tsuv1239,Tsuvadi,18,257
tuka1248,Tukang Besi North,8,137
tuvi1240,Tuvinian,13,613
tzot1259,Tzotzil,6,997
tzut1248,Tz'utujil,9,2101
ukra1253,Ukrainian,8,1349
ulwa1239,Ulwa,8,9
urii1240,Uri,10,1275
usar1243,Usarufa,9,1982
utes1238,Ute-Southern Paiute,12,1842
vaii1241,Vai,15,17
wamb1259,Wambon,7,79
wari1268,Wari',9,153
wash1253,Washo,9,1925
waya1269,Wayana,5,182
west2441,Western Arrarnta,4,621
west2560,West Coast Bajau,6,12
woge1237,Wogeo,6,239
yalu1240,Yalunka,11,490
yape1248,Yapese,15,37
yawa1260,Yawanawa,5,261
yekh1238,Yekhee,15,296
yeyi1239,Yeyi,42,948
yill1241,Yil,6,818
yine1238,Yine,5,355
yuch1247,Yuchi,11,247
yuki1243,Yuki,8,681
yura1255,Yuracaré,6,209
yuro1248,Yurok,10,756
zaiw1241,Zaiwa,6,1978
zoog1238,Zoogocho Zapotec,14,2507
