Glottocode,language,periodicGlottalSource,elevation
saki1248,Mekens,29,156
sala1272,Salasaca Highland Quichua,17,2483
samb1305,Samba Leko,24,912
samo1303,Samo,13,138
samr1245,Samre of Siem Reap,31,32
sanj1284,San Juan Guelavía Zapotec,37,1612
sanm1287,San Mateo del Mar Huave,16,5
sanu1240,Sanumá,17,121
sasa1249,Sasak,23,297
sata1237,Satawalese,28,0
sava1244,Savara,24,260
sayu1241,Sayula Popoluca,17,70
seco1241,Secoya,11,211
seim1238,Seimat,22,0
sela1259,Selaru,13,39
seme1247,Semelai,37,67
sera1259,Saraiki,68,121
seri1257,Seri,12,188
serr1255,Serrano,23,731
shab1252,Shabo,32,1683
shaw1249,Shawnee,11,313
shon1251,Shona,29,1216
siar1238,Siar-Lak,17,556
sida1246,Sidamo,23,1781
siks1238,Siksika,17,1232
sind1272,Sindhi,39,20
sipa1247,Sipacapense,22,2186
siss1243,Sissano,24,15
slov1268,Slovenian,28,1195
soch1239,Sochiapam Chinantec,23,682
sout2750,Southern Yukaghir,26,0
sout2840,Southern Bobo Madaré,31,321
sout2844,Southern Samo,20,276
sout2856,South Efate,14,236
sout2895,South Nuaulu,11,120
spok1245,Spokane,28,726
stan1289,Catalan,32,619
subi1246,Subiya,34,933
suri1267,Tirma-Chai,24,1104
surs1246,Sursurunga,16,813
swed1254,Swedish,27,27
tagw1240,Tagwana Senoufo,37,311
tami1289,Tamil,27,106
tana1290,Tanacross,22,0
taro1264,Seediq,31,1174
tata1257,Tatana,16,13
tatu1247,Tatuyo,12,219
tern1247,Ternate,17,1633
texi1237,Texistepec Popoluca,20,25
thul1246,Thulung,25,2514
tibe1272,Tibetan,15,5409
tilq1235,Tilquiapan Zapotec,19,1769
tinp1237,Tinputz,20,181
tiwi1244,Tiwi,14,74
tlac1235,Tlachichilco Tepehua,24,323
toba1269,Toba,19,139
tokp1240,Tok Pisin,18,197
tolo1259,Tolowa-Chetco,12,81
tong1325,Tonga (Tonga Islands),10,16
torw1241,Torwali,34,4139
tote1238,Totela,35,1063
tsha1245,Tshangla,21,1920
tsuv1239,Tsuvadi,35,257
tuka1248,Tukang Besi North,19,137
tuvi1240,Tuvinian,26,613
tzot1259,Tzotzil,11,997
tzut1248,Tz'utujil,19,2101
ukra1253,Ukrainian,20,1349
ulwa1239,Ulwa,16,9
urii1240,Uri,18,1275
usar1243,Usarufa,16,1982
utes1238,Ute-Southern Paiute,27,1842
vaii1241,Vai,31,17
wamb1259,Wambon,21,79
wari1268,Wari',12,153
wash1253,Washo,20,1925
waya1269,Wayana,12,182
west2441,Western Arrarnta,17,621
west2560,West Coast Bajau,18,12
woge1237,Wogeo,16,239
yalu1240,Yalunka,26,490
yape1248,Yapese,34,37
yawa1260,Yawanawa,9,261
yekh1238,Yekhee,23,296
yeyi1239,Yeyi,50,948
yill1241,Yil,19,818
yine1238,Yine,16,355
yuch1247,Yuchi,24,247
yuki1243,Yuki,20,681
yura1255,Yuracaré,17,209
yuro1248,Yurok,24,756
zaiw1241,Zaiwa,15,1978
zoog1238,Zoogocho Zapotec,50,2507
