Glottocode,language,continuant,elevation
sasa1249,Sasak,17,297
sata1237,Satawalese,23,0
sava1244,Savara,16,260
sayu1241,Sayula Popoluca,14,70
seco1241,Secoya,11,211
seim1238,Seimat,22,0
sela1259,Selaru,12,39
seme1247,Semelai,28,67
sera1259,Saraiki,51,121
seri1257,Seri,18,188
serr1255,Serrano,24,731
shab1252,Shabo,21,1683
shaw1249,Shawnee,11,313
shon1251,Shona,26,1216
siar1238,Siar-Lak,13,556
sida1246,Sidamo,19,1781
siks1238,Siksika,18,1232
sind1272,Sindhi,24,20
sipa1247,Sipacapense,17,2186
siss1243,Sissano,23,15
slov1268,Slovenian,26,1195
soch1239,Sochiapam Chinantec,24,682
sout2750,Southern Yukaghir,20,0
sout2840,Southern Bobo Madaré,26,321
sout2844,Southern Samo,14,276
sout2856,South Efate,11,236
sout2895,South Nuaulu,11,120
spok1245,Spokane,24,726
stan1289,Catalan,27,619
subi1246,Subiya,26,933
suri1267,Tirma-Chai,14,1104
surs1246,Sursurunga,12,813
swed1254,Swedish,26,27
tagw1240,Tagwana Senoufo,30,311
tami1289,Tamil,19,106
tana1290,Tanacross,27,0
taro1264,Seediq,27,1174
tata1257,Tatana,9,13
tatu1247,Tatuyo,11,219
tern1247,Ternate,12,1633
texi1237,Texistepec Popoluca,16,25
thul1246,Thulung,14,2514
tibe1272,Tibetan,16,5409
tilq1235,Tilquiapan Zapotec,15,1769
tinp1237,Tinputz,20,181
tiwi1244,Tiwi,10,74
tlac1235,Tlachichilco Tepehua,19,323
toba1269,Toba,15,139
tokp1240,Tok Pisin,17,197
tolo1259,Tolowa-Chetco,15,81
tong1325,Tonga (Tonga Islands),10,16
torw1241,Torwali,25,4139
tote1238,Totela,30,1063
tsha1245,Tshangla,15,1920
tsuv1239,Tsuvadi,28,257
tuka1248,Tukang Besi North,10,137
tuvi1240,Tuvinian,26,613
tzot1259,Tzotzil,12,997
tzut1248,Tz'utujil,17,2101
ukra1253,Ukrainian,18,1349
ulwa1239,Ulwa,16,9
urii1240,Uri,13,1275
usar1243,Usarufa,10,1982
utes1238,Ute-Southern Paiute,27,1842
vaii1241,Vai,19,17
wamb1259,Wambon,17,79
wari1268,Wari',10,153
wash1253,Washo,15,1925
waya1269,Wayana,11,182
west2441,Western Arrarnta,11,621
west2560,West Coast Bajau,11,12
woge1237,Wogeo,11,239
yalu1240,Yalunka,22,490
yape1248,Yapese,30,37
yawa1260,Yawanawa,11,261
yekh1238,Yekhee,18,296
yeyi1239,Yeyi,33,948
yill1241,Yil,16,818
yine1238,Yine,18,355
yuch1247,Yuchi,26,247
yuki1243,Yuki,16,681
yura1255,Yuracaré,14,209
yuro1248,Yurok,22,756
zaiw1241,Zaiwa,15,1978
zoog1238,Zoogocho Zapotec,47,2507
