,language,distributed,elevation
sout2844,Southern Samo,1,276
spok1245,Spokane,3,726
stan1289,Catalan,8,619
subi1246,Subiya,7,933
suri1267,Tirma-Chai,4,1104
swed1254,Swedish,8,27
tagw1240,Tagwana Senoufo,3,311
tami1289,Tamil,5,106
tana1290,Tanacross,10,0
taro1264,Seediq,5,1174
tata1257,Tatana,2,13
tern1247,Ternate,3,1633
texi1237,Texistepec Popoluca,3,25
tibe1272,Tibetan,9,5409
tilq1235,Tilquiapan Zapotec,6,1769
tiwi1244,Tiwi,2,74
tlac1235,Tlachichilco Tepehua,2,323
toba1269,Toba,7,139
tokp1240,Tok Pisin,3,197
tolo1259,Tolowa-Chetco,3,81
tong1325,Tonga (Tonga Islands),2,16
torw1241,Torwali,14,4139
tote1238,Totela,5,1063
tsha1245,Tshangla,3,1920
tsuv1239,Tsuvadi,5,257
tuka1248,Tukang Besi North,1,137
tuvi1240,Tuvinian,3,613
tzot1259,Tzotzil,3,997
tzut1248,Tz'utujil,3,2101
ukra1253,Ukrainian,13,1349
utes1238,Ute-Southern Paiute,1,1842
vaii1241,Vai,4,17
wamb1259,Wambon,1,79
wari1268,Wari',1,153
wash1253,Washo,1,1925
west2441,Western Arrarnta,6,621
west2560,West Coast Bajau,6,12
woge1237,Wogeo,5,239
yalu1240,Yalunka,2,490
yape1248,Yapese,4,37
yawa1260,Yawanawa,1,261
yekh1238,Yekhee,1,296
yeyi1239,Yeyi,22,948
yine1238,Yine,4,355
yuch1247,Yuchi,6,247
yuki1243,Yuki,5,681
yura1255,Yuracaré,4,209
yuro1248,Yurok,5,756
zaiw1241,Zaiwa,4,1978
zoog1238,Zoogocho Zapotec,5,2507
0,Cuvok,0,718
1,Mufian,0,173
2,Usarufa,0,1982
3,Binumarien,0,883
4,Karadjeri,0,135
5,Golin,0,1743
6,Imonda,0,284
7,I'saka,0,542
8,Kayabí,0,345
9,Eastern Karaboro,0,264
10,Kokota,0,44
11,Kuot,0,564
12,Lavukaleve,0,37
13,Mada (Cameroon),0,491
14,Manam,0,1346
15,Maybrat-Karon,0,114
16,Mwotlap,0,31
17,Namia,0,63
18,Nankina,0,1140
19,Isebe,0,258
21,Faiwol,0,1233
22,Orokaiva,0,201
23,Yil,0,818
24,Ningil,0,418
25,Dobu,0,32
26,Samo,0,138
27,Uri,0,1275
28,Rama,0,29
29,Matbat,0,158
30,Sabanê,0,312
31,Secoya,0,211
32,Siar-Lak,0,556
33,South Efate,0,236
34,Ulwa,0,9
35,Wayana,0,182
36,Tatuyo,0,219
37,Tamambo,0,157
38,Mambai,0,229
39,South Nuaulu,0,120
40,Selaru,0,39
41,Dupaninan Agta,0,759
42,Aklanon,0,140
43,Hungana-Saamba,0,355
44,Lisu,0,383
45,Molale,0,161
46,Panamint,0,1040
47,Abau,0,51
48,Amanab,0,412
49,Au,0,356
50,Tinputz,0,181
51,Patep,0,1111
52,Kela (Papua New Guinea),0,27
53,Sursurunga,0,813
54,Awara,0,1281
55,Awtuw,0,241
56,Bariai,0,237
57,Biak,0,187
58,Binandere,0,35
59,Boro (Ethiopia),0,840
60,Mekens,0,156
61,Thulung,0,2514
62,Sanumá,0,121
