Glottocode,language,approximant,elevation
sout2856,South Efate,9,236
sout2895,South Nuaulu,9,120
spok1245,Spokane,13,726
stan1289,Catalan,22,619
subi1246,Subiya,11,933
suri1267,Tirma-Chai,11,1104
surs1246,Sursurunga,10,813
swed1254,Swedish,19,27
tagw1240,Tagwana Senoufo,25,311
tami1289,Tamil,18,106
tana1290,Tanacross,17,0
taro1264,Seediq,17,1174
tata1257,Tatana,8,13
tatu1247,Tatuyo,9,219
tern1247,Ternate,9,1633
texi1237,Texistepec Popoluca,13,25
thul1246,Thulung,12,2514
tibe1272,Tibetan,13,5409
tilq1235,Tilquiapan Zapotec,9,1769
tinp1237,Tinputz,17,181
tiwi1244,Tiwi,9,74
tlac1235,Tlachichilco Tepehua,15,323
toba1269,Toba,12,139
tokp1240,Tok Pisin,14,197
tolo1259,Tolowa-Chetco,8,81
tong1325,Tonga (Tonga Islands),6,16
torw1241,Torwali,18,4139
tote1238,Totela,15,1063
tsha1245,Tshangla,9,1920
tsuv1239,Tsuvadi,19,257
tuka1248,Tukang Besi North,7,137
tuvi1240,Tuvinian,20,613
tzot1259,Tzotzil,8,997
tzut1248,Tz'utujil,14,2101
ukra1253,Ukrainian,10,1349
ulwa1239,Ulwa,14,9
urii1240,Uri,11,1275
usar1243,Usarufa,10,1982
utes1238,Ute-Southern Paiute,21,1842
vaii1241,Vai,14,17
wamb1259,Wambon,13,79
wari1268,Wari',8,153
wash1253,Washo,12,1925
waya1269,Wayana,10,182
west2441,Western Arrarnta,11,621
west2560,West Coast Bajau,10,12
woge1237,Wogeo,8,239
yalu1240,Yalunka,18,490
yape1248,Yapese,21,37
yawa1260,Yawanawa,7,261
yekh1238,Yekhee,12,296
yeyi1239,Yeyi,20,948
yill1241,Yil,15,818
yine1238,Yine,14,355
yuch1247,Yuchi,17,247
yuki1243,Yuki,12,681
yura1255,Yuracaré,11,209
yuro1248,Yurok,16,756
zaiw1241,Zaiwa,12,1978
zoog1238,Zoogocho Zapotec,38,2507
