,language,round,elevation
shab1252,Shabo,6,1683
shaw1249,Shawnee,2,313
shon1251,Shona,5,1216
siar1238,Siar-Lak,4,556
sida1246,Sidamo,5,1781
siks1238,Siksika,7,1232
sind1272,Sindhi,4,20
sipa1247,Sipacapense,5,2186
siss1243,Sissano,5,15
slov1268,Slovenian,6,1195
soch1239,Sochiapam Chinantec,6,682
sout2750,Southern Yukaghir,7,0
sout2840,Southern Bobo Madaré,8,321
sout2844,Southern Samo,4,276
sout2856,South Efate,3,236
sout2895,South Nuaulu,3,120
spok1245,Spokane,12,726
stan1289,Catalan,9,619
subi1246,Subiya,21,933
suri1267,Tirma-Chai,4,1104
surs1246,Sursurunga,4,813
swed1254,Swedish,10,27
tagw1240,Tagwana Senoufo,11,311
tami1289,Tamil,5,106
tana1290,Tanacross,4,0
taro1264,Seediq,3,1174
tata1257,Tatana,3,13
tatu1247,Tatuyo,4,219
tern1247,Ternate,3,1633
texi1237,Texistepec Popoluca,4,25
thul1246,Thulung,5,2514
tibe1272,Tibetan,5,5409
tilq1235,Tilquiapan Zapotec,4,1769
tinp1237,Tinputz,7,181
tiwi1244,Tiwi,3,74
tlac1235,Tlachichilco Tepehua,5,323
toba1269,Toba,3,139
tokp1240,Tok Pisin,6,197
tolo1259,Tolowa-Chetco,3,81
tong1325,Tonga (Tonga Islands),2,16
torw1241,Torwali,5,4139
tote1238,Totela,22,1063
tsha1245,Tshangla,3,1920
tsuv1239,Tsuvadi,11,257
tuka1248,Tukang Besi North,1,137
tuvi1240,Tuvinian,8,613
tzot1259,Tzotzil,2,997
tzut1248,Tz'utujil,5,2101
ukra1253,Ukrainian,3,1349
ulwa1239,Ulwa,4,9
urii1240,Uri,6,1275
usar1243,Usarufa,4,1982
utes1238,Ute-Southern Paiute,9,1842
vaii1241,Vai,5,17
wamb1259,Wambon,6,79
wari1268,Wari',6,153
wash1253,Washo,4,1925
waya1269,Wayana,3,182
west2441,Western Arrarnta,1,621
west2560,West Coast Bajau,3,12
woge1237,Wogeo,2,239
yalu1240,Yalunka,7,490
yape1248,Yapese,8,37
yawa1260,Yawanawa,2,261
yekh1238,Yekhee,4,296
yeyi1239,Yeyi,31,948
yill1241,Yil,6,818
yine1238,Yine,3,355
yuch1247,Yuchi,5,247
yuki1243,Yuki,4,681
yura1255,Yuracaré,3,209
yuro1248,Yurok,7,756
zaiw1241,Zaiwa,5,1978
zoog1238,Zoogocho Zapotec,16,2507
