Glottocode,language,front,elevation
shaw1249,Shawnee,4,313
shon1251,Shona,6,1216
siar1238,Siar-Lak,4,556
sida1246,Sidamo,6,1781
siks1238,Siksika,6,1232
sind1272,Sindhi,10,20
sipa1247,Sipacapense,5,2186
siss1243,Sissano,6,15
slov1268,Slovenian,7,1195
soch1239,Sochiapam Chinantec,4,682
sout2750,Southern Yukaghir,9,0
sout2840,Southern Bobo Madaré,9,321
sout2844,Southern Samo,8,276
sout2856,South Efate,3,236
sout2895,South Nuaulu,3,120
spok1245,Spokane,4,726
stan1289,Catalan,8,619
subi1246,Subiya,8,933
suri1267,Tirma-Chai,8,1104
surs1246,Sursurunga,3,813
swed1254,Swedish,11,27
tagw1240,Tagwana Senoufo,14,311
tami1289,Tamil,6,106
tana1290,Tanacross,9,0
taro1264,Seediq,10,1174
tata1257,Tatana,3,13
tatu1247,Tatuyo,3,219
tern1247,Ternate,4,1633
texi1237,Texistepec Popoluca,5,25
thul1246,Thulung,4,2514
tibe1272,Tibetan,9,5409
tilq1235,Tilquiapan Zapotec,3,1769
tinp1237,Tinputz,6,181
tiwi1244,Tiwi,2,74
tlac1235,Tlachichilco Tepehua,5,323
toba1269,Toba,6,139
tokp1240,Tok Pisin,4,197
tolo1259,Tolowa-Chetco,3,81
tong1325,Tonga (Tonga Islands),2,16
torw1241,Torwali,7,4139
tote1238,Totela,12,1063
tsha1245,Tshangla,9,1920
tsuv1239,Tsuvadi,13,257
tuka1248,Tukang Besi North,2,137
tuvi1240,Tuvinian,9,613
tzot1259,Tzotzil,2,997
tzut1248,Tz'utujil,5,2101
ukra1253,Ukrainian,4,1349
ulwa1239,Ulwa,4,9
urii1240,Uri,4,1275
usar1243,Usarufa,4,1982
utes1238,Ute-Southern Paiute,9,1842
vaii1241,Vai,10,17
wamb1259,Wambon,4,79
wari1268,Wari',4,153
wash1253,Washo,4,1925
waya1269,Wayana,3,182
west2441,Western Arrarnta,2,621
west2560,West Coast Bajau,4,12
woge1237,Wogeo,4,239
yalu1240,Yalunka,9,490
yape1248,Yapese,9,37
yawa1260,Yawanawa,2,261
yekh1238,Yekhee,4,296
yeyi1239,Yeyi,24,948
yill1241,Yil,5,818
yine1238,Yine,7,355
yuch1247,Yuchi,8,247
yuki1243,Yuki,7,681
yura1255,Yuracaré,6,209
yuro1248,Yurok,5,756
zaiw1241,Zaiwa,3,1978
zoog1238,Zoogocho Zapotec,12,2507
