,language,tap,elevation
zapa1253,Záparo,1,207
zoee1240,Zo'é,1,87
0,Mapudungun,0,1538
1,Baré,0,100
2,Palikúr,0,42
3,Wayuu,0,37
4,Kuikúro-Kalapálo,0,283
5,Barí,0,87
6,Cogui,0,1649
7,Puelche,0,121
8,Cuiba,0,98
9,Kadiwéu,0,86
10,Pilagá,0,119
11,Cholón,0,694
12,Olu'bo,0,721
13,Páez,0,3472
14,Puinave,0,77
15,Tinigua,0,264
16,Waorani,0,259
17,Yuracaré,0,209
18,Kakua,0,155
19,Katukína,0,174
20,Krahô,0,231
21,Maxakalí,0,294
22,Xokleng,0,794
23,Fulniô,0,391
24,Iyo'wujwa Chorote,0,269
25,Maca,0,70
26,Nivaclé,0,209
27,Wichí Lhamtés Nocten,0,656
28,Pirahã,0,75
29,Dâw,0,115
30,Hupdë,0,156
31,Yuhup,0,109
33,Latundê,0,480
34,Mamaindé,0,578
35,Sabanê,0,312
36,Chácobo,0,185
37,Cashinahua,0,279
38,Korubo,0,145
39,Matís,0,76
40,Matsés,0,151
42,Yaminahua,0,322
43,Yameo,0,143
44,Sáliba,0,119
45,Araona,0,199
46,Ese Ejja,0,221
47,Maijiki,0,144
48,Secoya,0,211
49,Siona-Tetete,0,236
50,Tocantins Asurini,0,99
51,Xipaya,0,90
52,Sanumá,0,121
53,Chamacoco,0,91
54,Pisamira,0,181
