,language,approximant,elevation
tena1240,Tena Lowland Quichua,8,978
tenh1241,Tenharim-Parintintin-Diahoi,13,96
tere1279,Terena-Kinikinao-Chane,14,233
ticu1245,Ticuna,20,150
tini1245,Tinigua,19,264
toba1269,Toba,26,139
toca1235,Tocantins Asurini,6,99
trin1274,Trinitario,15,165
trio1238,Trió,17,638
trum1247,Trumai,10,284
tuca1252,Tucano,15,144
tupa1250,Tuparí,18,247
tupi1273,Tupinambá,15,70
tuyu1244,Tuyuca,15,182
ucay1237,Ucayali-Yurúa Ashéninka,12,324
umot1240,Umotína,12,135
urar1246,Urarina,7,125
urub1250,Urubú-Kaapor,14,95
urue1240,Uru-Eu-Wau-Wau,13,251
uruu1244,Uru,14,3822
vile1241,Vilela,9,54
waim1253,Waimiri-Atroari,14,83
waim1255,Waimaha,15,167
waiw1244,Waiwai,10,409
waor1240,Waorani,22,259
wapi1253,Wapishana,7,130
wara1303,Warao,8,26
wari1268,Wari',9,153
waur1244,Waurá,14,362
waya1269,Wayana,10,182
waya1270,Wayampi,29,204
wayu1243,Wayuu,10,37
wich1262,Wichí Lhamtés Nocten,8,656
woun1238,Woun Meu,18,62
xava1240,Xavánte,16,323
xere1240,Xerénte,17,305
xeta1241,Xetá,14,690
xing1248,Xingú Asuriní,14,184
xipa1240,Xipaya,12,90
xiri1243,Xiriâna,8,263
xokl1240,Xokleng,21,794
yaba1248,Yabarana,10,808
yagu1244,Yagua,15,97
yama1264,Yámana,9,279
yame1242,Yameo,11,143
yami1256,Yaminahua,9,322
yane1238,Yanesha',13,2474
yano1261,Yanomamö,58,548
yano1262,Yanomámi,78,341
yavi1244,Yavitero,9,120
yawa1260,Yawanawa,7,261
yawa1261,Yawalapití,10,331
yine1238,Yine,14,355
yora1241,Yora,10,569
yucu1253,Yucuna,9,164
yuhu1238,Yuhup,19,109
yukp1241,Yukpa,18,1989
yuqu1240,Yuqui,21,208
yura1255,Yuracaré,10,209
yuru1263,Yurutí,9,176
yuwa1244,Hoti,20,848
zapa1253,Záparo,11,207
zoee1240,Zo'é,15,87
