,language,dorsal,elevation
tere1279,Terena-Kinikinao-Chane,13,233
ticu1245,Ticuna,25,150
tini1245,Tinigua,26,264
toba1269,Toba,30,139
toca1235,Tocantins Asurini,9,99
trin1274,Trinitario,20,165
trio1238,Trió,17,638
trum1247,Trumai,11,284
tuca1252,Tucano,17,144
tupa1250,Tuparí,19,247
tupi1273,Tupinambá,16,70
tuyu1244,Tuyuca,16,182
ucay1237,Ucayali-Yurúa Ashéninka,17,324
umot1240,Umotína,11,135
urar1246,Urarina,9,125
urub1250,Urubú-Kaapor,17,95
urue1240,Uru-Eu-Wau-Wau,17,251
uruu1244,Uru,21,3822
vile1241,Vilela,13,54
waim1253,Waimiri-Atroari,14,83
waim1255,Waimaha,16,167
waiw1244,Waiwai,10,409
waor1240,Waorani,26,259
wapi1253,Wapishana,9,130
wara1303,Warao,9,26
wari1268,Wari',10,153
waur1244,Waurá,16,362
waya1269,Wayana,10,182
waya1270,Wayampi,35,204
wayu1243,Wayuu,9,37
wich1262,Wichí Lhamtés Nocten,16,656
woun1238,Woun Meu,20,62
xava1240,Xavánte,16,323
xere1240,Xerénte,17,305
xeta1241,Xetá,15,690
xing1248,Xingú Asuriní,16,184
xipa1240,Xipaya,12,90
xiri1243,Xiriâna,12,263
xokl1240,Xokleng,24,794
yaba1248,Yabarana,11,808
yagu1244,Yagua,15,97
yama1264,Yámana,9,279
yame1242,Yameo,11,143
yami1256,Yaminahua,10,322
yane1238,Yanesha',21,2474
yano1261,Yanomamö,58,548
yano1262,Yanomámi,80,341
yavi1244,Yavitero,9,120
yawa1260,Yawanawa,7,261
yawa1261,Yawalapití,9,331
yine1238,Yine,15,355
yora1241,Yora,10,569
yucu1253,Yucuna,9,164
yuhu1238,Yuhup,26,109
yukp1241,Yukpa,19,1989
yuqu1240,Yuqui,30,208
yura1255,Yuracaré,12,209
yuru1263,Yurutí,10,176
yuwa1244,Hoti,26,848
zapa1253,Záparo,12,207
zoee1240,Zo'é,17,87
