,language,coronal,elevation
tuca1252,Tucano,5,144
tupa1250,Tuparí,5,247
tupi1273,Tupinambá,6,70
tuyu1244,Tuyuca,4,182
ucay1237,Ucayali-Yurúa Ashéninka,12,324
umot1240,Umotína,7,135
urar1246,Urarina,9,125
urub1250,Urubú-Kaapor,5,95
urue1240,Uru-Eu-Wau-Wau,5,251
uruu1244,Uru,11,3822
vile1241,Vilela,10,54
waim1253,Waimiri-Atroari,9,83
waim1255,Waimaha,3,167
waiw1244,Waiwai,8,409
waor1240,Waorani,4,259
wapi1253,Wapishana,10,130
wara1303,Warao,4,26
wari1268,Wari',5,153
waur1244,Waurá,9,362
waya1269,Wayana,3,182
waya1270,Wayampi,8,204
wayu1243,Wayuu,7,37
wich1262,Wichí Lhamtés Nocten,8,656
woun1238,Woun Meu,8,62
xava1240,Xavánte,5,323
xere1240,Xerénte,6,305
xeta1241,Xetá,5,690
xing1248,Xingú Asuriní,5,184
xipa1240,Xipaya,7,90
xiri1243,Xiriâna,9,263
xokl1240,Xokleng,8,794
yaba1248,Yabarana,5,808
yagu1244,Yagua,5,97
yama1264,Yámana,8,279
yame1242,Yameo,5,143
yami1256,Yaminahua,8,322
yane1238,Yanesha',12,2474
yano1261,Yanomamö,17,548
yano1262,Yanomámi,23,341
yavi1244,Yavitero,10,120
yawa1260,Yawanawa,8,261
yawa1261,Yawalapití,11,331
yine1238,Yine,10,355
yora1241,Yora,8,569
yucu1253,Yucuna,8,164
yuhu1238,Yuhup,8,109
yukp1241,Yukpa,13,1989
yuqu1240,Yuqui,8,208
yura1255,Yuracaré,10,209
yuru1263,Yurutí,4,176
yuwa1244,Hoti,10,848
zapa1253,Záparo,6,207
zoee1240,Zo'é,5,87
